Total nodes: 121   Frontiers: 4   Edges: 124
Nodes degrees
   [159,420]    5
   (229,446)    4
   [152,413]    4
   [469,417]    3
   [141,398]    3
   [145,406]    3
   [473,379]    2
   [553,187]    2
   [523,254]    2
   [163,371]    2
   [475,370]    2
   [445,368]    2
   [546,260]    2
   [455,369]    2
   [465,369]    2
   [473,369]    2
   [474,366]    2
   [469,364]    2
   [546,194]    2
   [159,378]    2
   [460,362]    2
   [450,362]    2
   [440,362]    2
   [546,270]    2
   [473,359]    2
   [474,356]    2
   [155,354]    2
   [539,277]    2
   [539,201]    2
   [481,349]    2
   [475,350]    2
   [159,362]    2
   [530,203]    2
   [154,334]    2
   [532,284]    2
   [482,343]    2
   [488,342]    2
   [477,341]    2
   [511,232]    2
   [525,291]    2
   [522,208]    2
   [495,335]    2
   [154,344]    2
   [470,334]    2
   [167,316]    2
   [177,316]    2
   [520,299]    2
   [502,328]    2
   [463,327]    2
   [187,315]    2
   [147,316]    2
   [157,316]    2
   [140,320]    2
   [510,223]    2
   [456,320]    2
   [333,316]    2
   [323,316]    2
   [515,215]    2
   [343,316]    2
   [363,316]    2
   [353,316]    2
   [373,316]    2
   [383,315]    2
   [520,309]    2
   [313,316]    2
   [428,314]    2
   [147,327]    2
   [447,317]    2
   [437,317]    2
   [520,319]    2
   [221,298]    2
   [306,310]    2
   [390,308]    2
   [251,299]    2
   [410,308]    2
   [400,308]    2
   [241,299]    2
   [420,308]    2
   [201,301]    2
   [231,299]    2
   [291,299]    2
   [281,299]    2
   [271,299]    2
   [261,299]    2
   [299,303]    2
   [194,308]    2
   [520,329]    2
   [512,329]    2
   [215,287]    2
   [519,336]    2
   [536,231]    2
   [526,231]    2
   [208,294]    2
   [545,233]    2
   [222,290]    2
   [473,409]    2
   [530,237]    2
   [476,410]    2
   [518,239]    2
   [552,240]    2
   [548,241]    2
   [538,241]    2
   [222,280]    2
   [473,399]    2
   [476,400]    2
   [537,244]    2
   [555,245]    2
   [151,382]    2
   [473,389]    2
   [522,247]    2
   [530,247]    2
   [476,390]    2
   (113,406)    2
   [144,389]    2
   [554,249]    2
   [544,251]    2
   [476,380]    2
   (104,240)    1
   [462,424]    1
   (263,412)    1
   [560,180]    1
Max: 5   Min: 1   Avg: 2
Degree computed in 1 ms

Closeness centrality:
   [144,389]    1,959
   [141,398]    1,927
   [145,406]    1,898
   [152,413]    1,866
   [159,420]    1,834
   (229,446)    1,599
   (263,412)    1,523
   (113,406)    1,404
   (104,240)    1,307
Closeness computed in 665 ms

Betweenness centrality:
   [144,389]    1016
   [141,398]    911
   [145,406]    804
   [152,413]    698,5
   [159,420]    410,5
   (104,240)    0
   (229,446)    0
   (113,406)    0
   (263,412)    0
Betweenness computed in 41 ms
