Total nodes: 37   Frontiers: 9   Edges: 43
Nodes degrees
   (593,387)    8
   [546,317]    6
   [561,330]    6
   [544,288]    4
   [534,288]    3
   [554,323]    3
   [527,295]    3
   [530,301]    3
   [532,303]    3
   [539,310]    3
   [530,281]    2
   [543,315]    2
   [543,187]    2
   [550,322]    2
   [530,291]    2
   [522,208]    2
   [528,242]    2
   [530,261]    2
   [517,226]    2
   [557,329]    2
   [536,194]    2
   [530,271]    2
   [536,308]    2
   [517,216]    2
   [529,201]    2
   [530,251]    2
   [521,235]    2
   (480,408)    1
   [554,287]    1
   (595,424)    1
   (450,426)    1
   [550,180]    1
   (437,359)    1
   (457,390)    1
   (365,320)    1
   (602,376)    1
   (634,312)    1
Max: 8   Min: 1   Avg: 2

Closeness centrality:
   [550,322]    1
   [543,315]    0,996
   [557,329]    0,996
   [561,330]    0,99
   [536,308]    0,983
   (593,387)    0,972
   [530,301]    0,964
   [530,291]    0,928
   [546,317]    0,926
   [544,288]    0,923
   [534,288]    0,917
   [554,323]    0,917
   [527,295]    0,917
   [532,303]    0,917
   [539,310]    0,917
   [530,281]    0,887
   [530,271]    0,842
   [554,287]    0,801
   [530,261]    0,794
   [530,251]    0,744
   [528,242]    0,697
   [521,235]    0,647
   [517,226]    0,597
   [517,216]    0,548
   [522,208]    0,503
   [529,201]    0,458
   (602,376)    0,442
   [536,194]    0,415
   [543,187]    0,373
   [550,180]    0,335
   (595,424)    0,269
   (437,359)    0,208
   (457,390)    0,2
   (480,408)    0,167
   (634,312)    0,159
   (450,426)    0,132
   (365,320)    0

Betweenness centrality:
   [561,330]    1
   (593,387)    0,953
   [530,301]    0,909
   [550,322]    0,895
   [543,315]    0,892
   [557,329]    0,892
   [536,308]    0,884
   [530,291]    0,826
   [530,281]    0,796
   [530,271]    0,76
   [530,261]    0,718
   [530,251]    0,671
   [528,242]    0,619
   [521,235]    0,561
   [517,226]    0,497
   [517,216]    0,428
   [522,208]    0,354
   [546,317]    0,282
   [529,201]    0,273
   [544,288]    0,191
   [536,194]    0,188
   [543,187]    0,097
   (480,408)    0
   [554,287]    0
   [534,288]    0
   [554,323]    0
   (595,424)    0
   [527,295]    0
   (450,426)    0
   [550,180]    0
   [532,303]    0
   (437,359)    0
   (457,390)    0
   [539,310]    0
   (365,320)    0
   (602,376)    0
   (634,312)    0
