Node    [130,183] -> {[128,174]=9,22  }
Node    [128,174] -> {[130,183]=9,22  [128,164]=10,0  }
Node    [128,164] -> {[128,174]=10,0  [128,154]=10,0  }
Node    [128,154] -> {[124,148]=7,211  [128,164]=10,0  }
Node    [124,148] -> {[128,141]=8,062  [128,154]=7,211  }
Node    [128,141] -> {[124,148]=8,062  [135,134]=9,899  }
Node    [135,134] -> {[128,141]=9,899  [142,127]=9,899  }
Node    [142,127] -> {[135,134]=9,899  [152,127]=10,0  }
Node    [152,127] -> {[142,127]=10,0  [162,127]=10,0  }
Node    [162,127] -> {[152,127]=10,0  [172,127]=10,0  }
Node    [172,127] -> {[162,127]=10,0  [182,127]=10,0  }
Node    [182,127] -> {[192,127]=10,0  [172,127]=10,0  }
Node    [192,127] -> {[202,127]=10,0  [182,127]=10,0  }
Node    [202,127] -> {[192,127]=10,0  [212,127]=10,0  }
Node    [212,127] -> {[202,127]=10,0  [219,120]=9,899  }
Node    [219,120] -> {[212,127]=9,899  [226,113]=9,899  }
Node    [226,113] -> {[219,120]=9,899  [236,112]=10,05  }
Node    [236,112] -> {[226,113]=10,05  [246,112]=10,0  }
Node    [246,112] -> {[256,112]=10,0  [236,112]=10,0  }
Node    [256,112] -> {[266,112]=10,0  [246,112]=10,0  }
Node    [266,112] -> {[256,112]=10,0  [276,112]=10,0  }
Node    [276,112] -> {[285,114]=9,22  [266,112]=10,0  }
Node    [285,114] -> {[295,114]=10,0  [276,112]=9,22  }
Node    [295,114] -> {[305,114]=10,0  [285,114]=10,0  }
Node    [305,114] -> {[295,114]=10,0  [312,121]=9,899  }
Node    [312,121] -> {[305,114]=9,899  [319,128]=9,899  }
Node    [319,128] -> {[312,121]=9,899  [326,135]=9,899  }
Node    [326,135] -> {(348,191)=42,0  (482,185)=191,581  [319,128]=9,899  (521,113)=204,941  }
Node f  [348,191] -> {[326,135]=42,0  }
Node f  [521,113] -> {[326,135]=204,941  }
Node f  [482,185] -> {[326,135]=191,581  }
