2   [[620,180]]   [0.009664588611628453]
2   [[620,180]]   [0.009664588611628453]
2   [[620,180]]   [0.009664588611628453]
2   [[620,180]]   [0.009664588611628453]
2   [[620,180]]   [0.009664588611628453]
2   [[620,180]]   [0.009664588611628453]
2   [[620,170]]   [0.011887021809778232]
2   [[620,170]]   [0.011887021809778232]
2   [[618,157]]   [0.011883573529550918]
2   [[618,157]]   [0.011883573529550918]
2   [[618,157]]   [0.011883573529550918]
3   [[618,157]]   [0.012551257696951434]
4   [[618,157]]   [0.012991403366129745]
4   [[618,157]]   [0.012991403366129745]
5   [[618,157]]   [0.012991403366129745]
9   [[617,159]]   [0.013976135257530184]
9   [[618,169]]   [0.012976486101838052]
10   [[608,165]]   [0.013738999512879045]
10   [[608,165]]   [0.013738999512879045]
12   [[608,165]]   [0.014031954643858868]
13   [[605,165]]   [0.014168397978287672]
14   [[605,165]]   [0.014168397978287672]
18   [[596,165]]   [0.013133710573739908]
20   [[588,165]]   [0.012631444924290447]
21   [[588,163]]   [0.012421976588370692]
22   [[588,163]]   [0.012454445534813872]
26   [[588,163]]   [0.010797236180217204]
27   [[588,163]]   [0.010647228016264405]
28   [[588,163]]   [0.010647228016264405]
32   [[588,163]]   [0.010733589043564657]
34   [[588,163]]   [0.010475192046066095]
35   [[588,163]]   [0.010390260729520194]
39   [[588,163]]   [0.009963312746653888]
41   [[588,163]]   [0.009789119263228594]
42   [[588,163]]   [0.009789119263228594]
46   [[588,163]]   [0.009195901469965528]
48   [[588,163]]   [0.009052755562910908]
49   [[588,163]]   [0.0090450014451613]
53   [[588,163]]   [0.008941052552022424]
55   [[588,163]]   [0.008827769906249347]
56   [[588,163]]   [0.008813120753170943]
60   [[588,163]]   [0.008320726234577013]
62   [[588,163]]   [0.008030296635158035]
63   [[588,163]]   [0.007945921912956223]
67   [[567,167]]   [0.007287681757841318]
70   [[567,167]]   [0.00700585133002134]
71   [[567,167]]   [0.00700585133002134]
75   [[567,167]]   [0.006772668254415866]
78   [[567,167]]   [0.006573409505076162]
79   [[567,167]]   [0.006422353191554466]
80   [[567,167]]   [0.00630006288341367]
81   [[567,167]]   [0.0062205674601121625]
85   [[567,167]]   [0.005947309738730173]
87   [[567,167]]   [0.005947309738730173]
88   [[567,167]]   [0.005947309738730173]
92   [[585,165]]   [0.0056068750983886174]
95   [[575,165]]   [0.005427745799879013]
96   [[575,165]]   [0.005427745799879013]
97   [[575,165]]   [0.005427745799879013]
2   [[620,185]]   [0.011544820809439672]
2   [[620,185]]   [0.011544820809439672]
2   [[620,185]]   [0.011544820809439672]
2   [[620,185]]   [0.011544820809439672]
2   [[620,185]]   [0.011544820809439672]
6   [[620,170]]   [0.013606250076908816]
10   [[620,170]]   [0.016010393105121354]
11   [[620,170]]   [0.015911088592055696]
15   [[620,170]]   [0.013086846213775991]
17   [[620,170]]   [0.01203875726579953]
21   [[620,155]]   [0.01175888683555971]
25   [[620,155]]   [0.010661823087306963]
26   [[618,154]]   [0.010480642874997377]
27   [[618,154]]   [0.010461099819385481]
31   [[613,162]]   [0.010702259861809373]
32   [[613,162]]   [0.010702259861809373]
33   [[613,162]]   [0.010859173393796202]
34   [[613,162]]   [0.01062009031044384]
38   [[613,162]]   [0.010592123264710861]
40   [[613,162]]   [0.010377186245607082]
41   [[613,162]]   [0.010377186245607082]
45   [[613,162]]   [0.009840617992474116]
47   [[605,167]]   [0.009374649411521914]
48   [[605,167]]   [0.009293200422733901]
49   [[605,167]]   [0.00923899491137531]
53   [[599,165]]   [0.008862783431178944]
55   [[599,165]]   [0.008745544935196914]
56   [[599,165]]   [0.008628364830259454]
60   [[600,154]]   [0.008211853849052713]
63   [[600,154]]   [0.007930133616463792]
64   [[599,165]]   [0.007602437923306819]
65   [[604,167]]   [0.007548157646206555]
66   [[604,167]]   [0.007416498456942643]
70   [[616,126]]   [0.0064971707164673785]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[620,185]]   [0.011164129182795045]
2   [[70,290]]   [0.008272548521987283]
2   [[100,265]]   [0.007791624644878725]
2   [[100,265]]   [0.007791624644878725]
2   [[100,265]]   [0.007791624644878725]
2   [[100,253]]   [0.007585794313356949]
2   [[100,290]]   [0.0072434880961714035]
2   [[100,290]]   [0.0072434880961714035]
2   [[100,290]]   [0.0072434880961714035]
2   [[100,240]]   [0.007405546488461936]
2   [[100,240]]   [0.007405546488461936]
2   [[100,240]]   [0.007405546488461936]
2   [[100,240]]   [0.007405546488461936]
3   [[100,253]]   [0.008205221435007074]
5   [[100,275]]   [0.008795379236654449]
