2	[(620,170)(619,151)(620,210)(611,127)] [(620,190)]	(617.0,164.0) null
2	[(611,117)(620,140)] [(620,220)(620,200)(620,180)(620,160)]	null null
2	[(611,117)(620,140)] [(620,220)(620,200)(620,180)(620,160)]	null null
2	[(611,117)(620,140)] [(620,220)(620,200)(620,180)(620,160)]	null null
3	[(613,227)(603,113)(613,133)] [(620,200)(620,180)(620,160)]	(609.0,157.0) null
3	[(613,227)(603,113)(613,133)] [(620,200)(620,180)(620,160)]	(609.0,157.0) null
4	[(599,241)(633,215)(620,160)(594,119)(599,119)] [(620,180)]	(609.0,170.0) null
5	[(599,241)(633,215)(622,151)(594,124)(599,119)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(592,248)(633,225)(625,142)(594,135)(589,118)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(585,255)(633,235)(632,135)(594,145)(579,118)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(578,262)(633,245)(641,133)(593,154)(569,118)] [(620,180)]	(603.0,182.0) (0.0,0.0)
2	[(611,117)(620,140)] [(620,220)(620,160)(620,180)(620,200)]	null null
2	[(611,117)(620,140)] [(620,220)(620,160)(620,180)(620,200)]	null null
2	[(611,117)(620,140)] [(620,220)(620,160)(620,180)(620,200)]	null null
3	[(613,227)(603,113)(613,133)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
3	[(613,227)(603,113)(613,133)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
4	[(599,241)(594,120)(620,160)(633,215)(599,119)] [(620,180)]	(609.0,171.0) null
5	[(599,241)(594,124)(622,151)(633,215)(599,119)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(592,248)(594,135)(625,142)(633,225)(589,118)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(585,255)(594,145)(632,135)(633,235)(579,118)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(578,262)(593,154)(641,133)(633,245)(569,118)] [(620,180)]	(602.0,182.0) (0.0,0.0)
2	[(611,117)(620,140)] [(620,160)(620,200)(620,180)(620,220)]	null null
2	[(611,117)(620,140)] [(620,160)(620,200)(620,180)(620,220)]	null null
2	[(611,117)(620,140)] [(620,160)(620,200)(620,180)(620,220)]	null null
3	[(603,113)(613,133)(613,227)] [(620,160)(620,200)(620,180)]	(609.0,157.0) null
3	[(603,113)(613,133)(613,227)] [(620,160)(620,200)(620,180)]	(609.0,157.0) null
4	[(594,119)(620,160)(633,215)(599,119)(602,238)] [(620,180)]	(609.0,170.0) null
5	[(594,124)(622,151)(633,215)(599,119)(599,241)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(594,135)(625,142)(633,225)(589,118)(592,248)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(594,145)(632,135)(633,235)(579,118)(585,255)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(593,154)(641,133)(633,245)(569,118)(578,262)] [(620,180)]	(603.0,182.0) (0.0,0.0)
2	[(620,140)(611,117)] [(620,200)(620,180)(620,160)(620,220)]	null null
2	[(620,140)(611,117)] [(620,200)(620,180)(620,160)(620,220)]	null null
2	[(620,140)(611,117)] [(620,200)(620,180)(620,160)(620,220)]	null null
3	[(613,133)(603,113)(613,227)] [(620,200)(620,180)(620,160)]	(609.0,157.0) null
3	[(613,133)(603,113)(620,200)(613,227)] [(620,180)(620,160)]	(609.0,157.0) null
4	[(599,119)(594,120)(633,215)(620,160)(599,241)] [(620,180)]	(609.0,171.0) null
5	[(599,119)(594,124)(633,215)(622,151)(599,241)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(589,118)(594,135)(633,225)(625,142)(592,248)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(579,118)(594,145)(633,235)(632,135)(585,255)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(569,118)(593,154)(633,245)(641,133)(578,262)] [(620,180)]	(602.0,182.0) (0.0,0.0)
2	[(611,117)(620,140)] [(620,180)(620,160)(620,220)(620,200)]	null null
3	[(603,113)(613,133)(613,227)] [(620,180)(620,160)(620,200)]	(609.0,157.0) null
3	[(603,113)(613,133)(613,227)] [(620,180)(620,160)(620,200)]	(609.0,157.0) null
4	[(594,120)(599,119)(620,160)(599,241)(633,215)] [(620,180)]	(609.0,171.0) null
5	[(594,124)(599,119)(622,151)(599,241)(633,215)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(594,134)(589,118)(625,142)(592,248)(633,225)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(594,145)(579,118)(632,135)(585,255)(633,235)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(593,154)(569,118)(641,133)(578,262)(633,245)] [(620,180)]	(603.0,182.0) (0.0,0.0)
2	[(617,109)] [(620,170)(620,150)(620,130)(620,230)(620,210)(620,190)]	null null
2	[(620,170)(619,151)(617,109)] [(620,130)(620,230)(620,210)(620,190)]	(618.0,143.0) null
2	[(620,170)(619,151)(617,109)] [(620,130)(620,230)(620,210)(620,190)]	(618.0,143.0) null
3	[(611,167)(612,154)(613,237)(626,111)] [(620,130)(620,210)(620,190)]	(615.0,167.0) null
3	[(611,167)(612,154)(613,237)(626,111)] [(620,130)(620,210)(620,190)]	(615.0,167.0) null
4	[(601,167)(602,154)(606,244)(633,118)(627,217)] [(620,130)(620,190)]	(613.0,180.0) null
4	[(601,167)(602,154)(606,244)(633,118)(627,217)] [(620,130)(620,190)]	(613.0,180.0) null
5	[(590,167)(591,154)(599,251)(640,125)(633,225)] [(620,130)(620,190)]	(611.0,184.0) (613.0,167.0)
