2	[(610,180)(561,180)(590,180)(650,180)(570,180)] []	(596.0,180.0) null
2	[(610,180)(562,180)(589,181)(650,180)(570,180)] []	(596.0,180.0) null
3	[(610,180)(572,180)(583,187)(650,180)(582,180)] []	(599.0,181.0) null
4	[(603,187)(583,180)(574,194)(650,180)(592,180)] []	(600.0,184.0) null
5	[(587,194)(600,180)(564,194)(650,180)(603,180)] []	(600.0,185.0) (580.0,180.0)
11	[(529,201)(552,194)(517,226)(650,180)(620,180)] []	(575.0,197.0) (517.0,217.0)
2	[(601,180)(610,180)] [(570,180)(550,180)(650,180)(630,180)]	null null
2	[(602,180)(610,180)] [(570,180)(550,180)(650,180)(630,180)]	null null
2	[(603,180)(610,180)(570,180)(549,181)] [(650,180)(630,180)]	(583.0,180.0) null
3	[(595,180)(604,180)(570,180)(543,187)] [(650,180)(630,180)]	(578.0,181.0) null
3	[(593,179)(604,180)(570,180)(541,189)] [(650,180)(630,180)]	(577.0,182.0) null
4	[(587,177)(593,180)(563,187)(536,194)] [(650,180)(630,180)]	(569.0,184.0) null
4	[(584,177)(591,180)(560,190)(536,194)] [(650,180)(630,180)]	(567.0,185.0) null
5	[(576,177)(583,180)(556,194)(529,201)] [(650,180)(630,180)]	(561.0,188.0) (540.0,190.0)
5	[(574,177)(581,180)(554,196)(527,203)] [(650,180)(628,182)]	(559.0,189.0) (540.0,190.0)
2	[(601,180)(610,180)] [(550,180)(570,180)(630,180)(650,180)]	null null
2	[(602,180)(610,180)] [(550,180)(570,180)(630,180)(650,180)]	null null
2	[(603,180)(549,181)(570,180)(610,180)] [(630,180)(650,180)]	(583.0,180.0) null
3	[(595,180)(543,187)(570,180)(604,180)] [(630,180)(650,180)]	(578.0,181.0) null
3	[(592,178)(541,189)(570,180)(604,180)] [(630,180)(650,180)]	(576.0,181.0) null
4	[(587,177)(536,194)(563,187)(593,180)] [(630,180)(650,180)]	(569.0,184.0) null
4	[(584,177)(536,194)(560,190)(591,180)] [(630,180)(650,180)]	(567.0,185.0) null
5	[(576,177)(529,201)(556,194)(582,180)] [(630,180)(650,180)]	(561.0,188.0) (540.0,190.0)
5	[(575,177)(529,201)(554,196)(581,180)] [(628,182)(650,180)]	(559.0,188.0) (540.0,190.0)
2	[(604,180)(601,180)] [(570,180)(630,180)(550,180)(650,180)]	null null
2	[(604,180)(602,180)] [(570,180)(630,180)(550,180)(650,180)]	null null
2	[(570,180)(604,180)(603,180)(550,180)] [(630,180)(650,180)]	(581.0,180.0) null
3	[(570,180)(594,180)(598,185)(543,187)] [(630,180)(650,180)]	(576.0,183.0) null
3	[(570,180)(594,180)(596,187)(541,189)] [(630,180)(650,180)]	(575.0,184.0) null
4	[(563,187)(584,180)(591,192)(536,194)] [(630,180)(650,180)]	(568.0,188.0) null
4	[(561,189)(584,180)(587,194)(536,194)] [(630,180)(650,180)]	(567.0,189.0) null
5	[(556,194)(574,180)(580,194)(529,201)] [(630,180)(650,180)]	(560.0,192.0) (541.0,189.0)
5	[(554,196)(574,180)(579,194)(527,203)] [(628,182)(650,180)]	(558.0,193.0) (541.0,189.0)
2	[(604,180)(601,180)] [(570,180)(550,180)(630,180)(650,180)]	null null
2	[(604,180)(602,180)] [(570,180)(550,180)(630,180)(650,180)]	null null
2	[(570,180)(604,180)(550,180)(603,180)] [(630,180)(650,180)]	null null
3	[(570,180)(594,180)(543,187)(598,185)] [(630,180)(650,180)]	(576.0,183.0) null
