2	[(604,180)(630,180)] [(590,180)(570,180)]	null null
2	[(604,180)(630,180)] [(590,180)(570,180)]	null null
2	[(580,180)(620,180)(604,180)] [(590,180)]	(601.0,180.0) null
3	[(590,180)(610,180)(597,187)] [(590,180)]	(599.0,182.0) null
4	[(600,180)(601,184)(590,194)] [(590,180)]	(597.0,186.0) null
5	[(597,186)(591,194)(577,194)] [(590,180)]	(590.0,190.0) (570.0,180.0)
6	[(582,194)(575,194)(562,194)] [(571,180)]	(573.0,194.0) (570.0,180.0)
7	[(582,194)(575,194)(560,194)] [(570,180)]	(572.0,194.0) (570.0,180.0)
11	[(535,195)(539,203)(523,211)] [(541,184)]	(533.0,202.0) (523.0,207.0)
13	[(523,213)(532,224)(537,228)] [(523,206)]	(530.0,221.0) (533.0,224.0)
16	[(542,232)(546,238)(555,249)] [(533,223)]	(547.0,239.0) (540.0,231.0)
17	[(547,237)(554,242)(555,252)] [(539,229)]	(551.0,243.0) (540.0,231.0)
18	[(555,248)(555,252)(554,242)] [(540,231)]	(553.0,246.0) (540.0,231.0)
22	[(532,232)(546,274)(523,237)] [(528,258)]	(534.0,246.0) (548.0,201.0)
28	[(546,265)(528,273)(546,287)] [(548,202)]	(541.0,272.0) (548.0,201.0)
29	[(546,266)(528,273)(546,287)] [(548,201)]	(540.0,275.0) (548.0,201.0)
33	[(553,286)(496,236)(536,295)] [(540,173)]	(529.0,272.0) (548.0,201.0)
36	[(538,295)(477,231)(524,285)] [(548,200)]	(513.0,270.0) (548.0,201.0)
37	[(524,289)(472,234)(524,265)] [(548,201)]	(507.0,267.0) (499.0,239.0)
43	[(524,237)(493,256)(528,283)] [(500,239)]	(515.0,258.0) (548.0,201.0)
50	[(520,312)(528,249)(517,335)] [(548,202)]	(521.0,293.0) (548.0,201.0)
51	[(520,322)(528,259)(500,341)] [(548,201)]	(519.0,300.0) (548.0,201.0)
55	[(547,339)(531,298)(473,362)] [(548,171)]	(517.0,333.0) (548.0,201.0)
57	[(567,339)(545,312)(480,379)] [(548,200)]	(530.0,343.0) (548.0,201.0)
58	[(567,339)(545,312)(480,379)] [(548,201)]	(530.0,343.0) (548.0,201.0)
62	[(565,382)(564,339)(474,371)] [(533,218)]	(534.0,364.0) (548.0,201.0)
64	[(583,376)(572,366)(462,380)] [(548,202)]	(538.0,369.0) (548.0,201.0)
65	[(584,376)(572,366)(462,380)] [(548,201)]	(539.0,374.0) (548.0,201.0)
69	[(571,368)(612,357)(467,378)] [(548,171)]	(553.0,365.0) (548.0,201.0)
71	[(570,388)(592,367)(467,398)] [(548,200)]	(543.0,384.0) (548.0,201.0)
72	[(570,389)(592,367)(467,398)] [(548,201)]	(543.0,384.0) (548.0,201.0)
76	[(585,422)(571,387)(456,417)] [(535,210)]	(537.0,408.0) (548.0,201.0)
77	[(605,423)(571,407)(472,408)] [(547,201)]	(548.0,412.0) (548.0,201.0)
78	[(606,423)(571,407)(472,408)] [(548,201)]	(549.0,412.0) (548.0,201.0)
82	[(649,436)(611,431)(474,364)] [(578,201)]	(574.0,410.0) (548.0,201.0)
84	[(664,440)(629,435)(479,346)] [(549,201)]	(590.0,407.0) (548.0,201.0)
85	[(664,440)(629,435)(479,346)] [(548,201)]	(590.0,407.0) (548.0,201.0)
89	[(664,390)(664,429)(445,332)] [(518,201)]	(591.0,383.0) (571.0,397.0)
99	[(611,423)(653,413)(398,261)] [(529,296)]	(554.0,365.0) (571.0,397.0)
109	[(572,356)(570,403)(410,283)] [(571,378)]	(517.0,347.0) (554.0,338.0)
113	[(593,325)(572,364)(394,306)] [(554,339)]	(519.0,331.0) (554.0,338.0)
