2	[(618,151)(620,200)(620,180)(618,140)] []	(619.0,167.0) null
2	[(611,117)(619,159)(610,130)(620,180)] [(620,220)(620,200)]	(615.0,146.0) null
2	[(611,117)(619,159)(610,130)(620,180)] [(620,220)(620,200)]	(615.0,146.0) null
3	[(603,113)(613,153)(606,126)(613,173)] [(620,220)(620,200)]	(608.0,141.0) null
3	[(603,113)(613,153)(606,126)(613,173)] [(620,220)(620,200)]	(608.0,141.0) null
2	[(613,167)(611,117)(613,133)] [(620,220)(620,200)(620,180)]	(612.0,139.0) null
2	[(613,167)(611,117)(613,133)] [(620,220)(620,200)(620,180)]	(612.0,139.0) null
2	[(613,167)(611,117)(613,133)] [(620,220)(620,200)(620,180)]	(612.0,139.0) null
3	[(606,174)(603,113)(606,126)] [(620,220)(620,200)(620,180)]	(605.0,137.0) null
3	[(606,174)(603,113)(606,126)] [(620,220)(620,200)(620,180)]	(605.0,137.0) null
3	[(606,174)(603,113)(606,126)] [(620,220)(620,200)(620,180)]	(605.0,137.0) null
4	[(598,180)(596,115)(599,119)] [(620,220)(620,200)(620,180)]	(597.0,138.0) null
4	[(598,180)(596,115)(599,119)] [(620,220)(620,200)(620,180)]	(597.0,138.0) null
4	[(598,180)(596,115)(599,119)] [(620,220)(620,200)(620,180)]	(597.0,138.0) null
5	[(586,181)(594,124)(598,112)] [(620,220)(620,200)(620,180)]	(593.0,138.0) (0.0,0.0)
5	[(586,181)(594,124)(598,112)] [(620,220)(620,200)(620,180)]	(593.0,138.0) (0.0,0.0)
5	[(586,181)(594,126)(598,112)] [(620,220)(620,200)(620,180)]	(593.0,138.0) (0.0,0.0)
6	[(581,186)(594,135)(594,120)] [(620,220)(620,200)(620,180)]	(589.0,146.0) (0.0,0.0)
6	[(581,186)(594,135)(594,120)] [(620,220)(620,200)(620,180)]	(589.0,146.0) (0.0,0.0)
6	[(581,186)(594,135)(594,120)] [(620,220)(620,200)(620,180)]	(589.0,146.0) (0.0,0.0)
7	[(572,188)(594,144)(594,130)] [(620,220)(620,200)(620,180)]	(586.0,154.0) (0.0,0.0)
7	[(572,188)(594,145)(594,130)] [(620,220)(620,200)(620,180)]	(586.0,154.0) (0.0,0.0)
7	[(572,188)(594,145)(594,130)] [(620,220)(620,200)(620,180)]	(586.0,154.0) (0.0,0.0)
8	[(564,194)(593,154)(594,141)] [(620,220)(620,200)(620,180)]	(583.0,162.0) (0.0,0.0)
8	[(564,194)(593,154)(594,141)] [(620,220)(620,200)(620,180)]	(583.0,162.0) (0.0,0.0)
8	[(564,194)(593,154)(594,141)] [(620,220)(620,200)(620,180)]	(583.0,163.0) (0.0,0.0)
9	[(559,198)(585,150)(594,150)] [(620,220)(620,200)(620,180)]	(579.0,166.0) (0.0,0.0)
9	[(559,198)(585,150)(594,150)] [(620,220)(620,200)(620,180)]	(579.0,166.0) (0.0,0.0)
9	[(559,198)(585,150)(594,150)] [(620,220)(620,200)(620,180)]	(579.0,166.0) (0.0,0.0)
10	[(552,191)(578,144)(588,153)] [(620,220)(620,200)(620,180)]	(572.0,162.0) (0.0,0.0)
10	[(552,191)(578,144)(588,153)] [(620,220)(620,200)(620,180)]	(572.0,162.0) (0.0,0.0)
10	[(552,191)(578,144)(588,153)] [(620,220)(620,200)(620,180)]	(572.0,162.0) (0.0,0.0)
11	[(543,185)(571,145)(581,147)] [(620,220)(620,200)(620,180)]	(565.0,159.0) (612.0,167.0)
11	[(543,185)(571,145)(581,147)] [(620,220)(620,200)(620,180)]	(565.0,159.0) (612.0,167.0)
11	[(543,185)(571,145)(581,147)] [(620,220)(620,200)(620,180)]	(565.0,159.0) (612.0,167.0)
12	[(524,186)(557,159)(568,160)] [(612,203)(612,183)(612,168)]	(550.0,168.0) (612.0,167.0)
13	[(524,186)(557,159)(567,161)] [(612,203)(612,183)(612,167)]	(549.0,168.0) (612.0,167.0)
14	[(512,193)(538,162)(553,162)] [(612,185)(612,168)(612,157)]	(534.0,172.0) (612.0,167.0)
17	[(505,181)(518,155)(608,172)(594,174)(527,161)] [(608,138)]	(550.0,169.0) (612.0,167.0)
20	[(478,189)(500,161)(578,174)(564,174)(506,156)] [(612,166)]	(525.0,170.0) (612.0,167.0)
21	[(468,193)(489,163)(569,174)(554,174)(510,164)] [(612,167)]	(518.0,173.0) (611.0,167.0)
22	[(461,190)(480,162)(560,176)(544,174)(500,163)] [(611,167)]	(509.0,173.0) (612.0,166.0)
23	[(453,185)(472,159)(550,176)(534,174)(490,163)] [(612,166)]	(500.0,171.0) (612.0,166.0)
27	[(415,189)(456,168)(511,174)(494,176)(462,161)] [(630,143)]	(468.0,173.0) (612.0,167.0)
30	[(386,191)(427,162)(481,174)(463,176)(430,162)] [(612,165)]	(437.0,173.0) (612.0,166.0)
31	[(380,193)(421,156)(473,168)(456,175)(424,160)] [(612,166)]	(430.0,170.0) (612.0,166.0)
35	[(346,189)(438,174)(433,168)(415,174)(392,144)] [(624,193)]	(404.0,169.0) (585.0,170.0)
40	[(328,167)(494,176)(383,168)(367,164)(424,174)] [(586,170)]	(399.0,169.0) (585.0,170.0)
