2	[(620,170)(611,127)(619,151)(620,210)] [(620,190)]	(616.0,149.0) null
2	[(619,151)(611,127)(620,170)] [(620,190)(620,210)]	(616.0,149.0) null
2	[(611,127)(620,210)(620,170)(619,151)] [(620,190)]	(616.0,149.0) null
2	[(611,117)(620,220)(619,139)] [(620,180)(620,200)(620,160)]	null null
2	[(611,117)(620,220)(619,139)] [(620,180)(620,200)(620,160)]	null null
2	[(611,117)(620,220)(619,139)] [(620,180)(620,200)(620,160)]	null null
3	[(603,113)(613,227)(613,133)] [(620,180)(620,200)(620,160)]	(609.0,157.0) null
3	[(603,113)(613,227)(613,133)] [(620,180)(620,200)(620,160)]	(609.0,157.0) null
4	[(594,118)(633,215)(620,160)(601,239)(599,119)] []	(609.0,170.0) null
5	[(594,124)(633,215)(622,151)(599,241)(597,118)] []	(609.0,170.0) (0.0,0.0)
6	[(594,135)(633,225)(625,142)(592,248)(589,118)] []	(606.0,173.0) (0.0,0.0)
7	[(594,145)(633,235)(632,135)(585,255)(579,118)] []	(604.0,177.0) (0.0,0.0)
8	[(593,154)(633,245)(641,133)(578,262)(569,118)] []	(602.0,182.0) (0.0,0.0)
2	[(611,117)(620,200)(619,139)] [(620,160)(620,180)]	null null
2	[(611,117)(620,200)(619,139)] [(620,160)(620,180)]	null null
3	[(603,113)(613,207)(613,133)(627,227)] [(620,160)(620,180)]	(614.0,170.0) null
3	[(603,113)(613,207)(613,133)(627,227)] [(620,160)(620,180)]	(614.0,170.0) null
4	[(604,115)(606,214)(620,160)(606,126)(633,235)] []	(613.0,170.0) null
5	[(611,122)(599,221)(627,153)(599,119)(633,246)] []	(613.0,172.0) (0.0,0.0)
6	[(612,132)(592,228)(634,146)(589,118)(633,255)] []	(612.0,175.0) (0.0,0.0)
7	[(612,142)(585,235)(641,139)(579,118)(633,265)] []	(610.0,179.0) (0.0,0.0)
8	[(612,152)(578,242)(647,131)(568,118)(633,275)] []	(607.0,183.0) (0.0,0.0)
9	[(612,162)(571,249)(651,123)(559,118)(633,285)] []	(605.0,187.0) (0.0,0.0)
10	[(608,163)(564,256)(651,112)(549,118)(633,295)] []	(601.0,189.0) (0.0,0.0)
2	[(620,140)(611,117)] [(620,160)(620,220)(620,180)(620,200)]	null null
2	[(620,140)(611,117)] [(620,160)(620,220)(620,180)(620,200)]	null null
3	[(613,227)(613,133)(603,113)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
3	[(613,227)(613,133)(603,113)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
4	[(620,160)(599,241)(599,119)(594,122)(633,215)] [(620,180)]	(609.0,171.0) null
5	[(622,151)(599,241)(599,119)(594,124)(633,215)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(625,142)(592,248)(589,118)(594,135)(633,225)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(632,135)(585,255)(579,118)(594,145)(633,235)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(641,133)(578,262)(569,118)(593,154)(633,245)] [(620,180)]	(603.0,182.0) (0.0,0.0)
2	[(611,117)(620,140)] [(620,200)(620,160)(620,220)(620,180)]	null null
2	[(611,117)(620,140)] [(620,200)(620,160)(620,220)(620,180)]	null null
3	[(603,113)(613,133)(613,227)] [(620,200)(620,160)(620,180)]	(609.0,157.0) null
3	[(603,113)(613,133)(613,227)] [(620,200)(620,160)(620,180)]	(609.0,157.0) null
4	[(594,121)(599,119)(633,215)(620,160)(600,240)] [(620,180)]	(609.0,171.0) null
5	[(594,124)(599,119)(633,215)(622,151)(599,241)] [(620,180)]	(609.0,170.0) (0.0,0.0)
6	[(594,135)(589,118)(633,225)(625,142)(592,248)] [(620,180)]	(606.0,173.0) (0.0,0.0)
7	[(594,145)(579,118)(633,235)(632,135)(585,255)] [(620,180)]	(604.0,177.0) (0.0,0.0)
8	[(593,154)(569,118)(633,245)(641,133)(578,262)] [(620,180)]	(602.0,182.0) (0.0,0.0)
2	[(611,117)(620,140)] [(620,160)(620,180)(620,200)(620,220)]	null null
2	[(611,117)(620,140)] [(620,160)(620,180)(620,200)(620,220)]	null null
2	[(611,117)(620,140)] [(620,160)(620,180)(620,200)(620,220)]	null null
3	[(603,113)(613,133)(613,227)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
3	[(603,113)(613,133)(613,227)] [(620,160)(620,180)(620,200)]	(609.0,157.0) null
4	[(594,120)(620,160)(599,119)(633,215)(599,241)] [(620,180)]	(609.0,171.0) null
