2	[(70,293)] [(70,320)(70,240)(70,260)(70,280)]	null null
2	[(70,293)] [(70,240)(70,260)(70,280)(70,320)]	null null
2	[(70,293)] [(70,260)(70,240)(70,280)(70,320)]	null null
2	[(70,293)] [(70,260)(70,280)(70,240)(70,320)]	null null
2	[(70,293)] [(70,240)(70,260)(70,320)(70,280)]	null null
2	[(70,293)] [(70,310)(70,330)(70,230)(70,250)(70,270)]	null null
2	[(70,293)(70,250)] [(70,310)(70,330)(70,230)(70,270)]	null null
3	[(77,337)(77,223)(68,284)(77,257)(70,270)] [(70,310)]	(73.0,274.0) null
4	[(84,344)(85,218)(64,277)(84,264)(77,263)] [(70,310)]	(78.0,273.0) null
5	[(91,351)(93,214)(59,271)(91,271)(84,256)] [(70,310)]	(83.0,272.0) (140.0,320.0)
12	[(147,407)(122,195)(124,238)(160,297)(138,199)] [(139,320)]	(138.0,267.0) (139.0,321.0)
13	[(147,407)(123,195)(124,238)(160,297)(138,199)] [(139,321)]	(138.0,267.0) (139.0,321.0)
2	[(70,293)] [(70,310)(70,230)(70,330)(70,270)(70,250)]	null null
2	[(70,293)(70,250)] [(70,310)(70,230)(70,330)(70,270)]	null null
3	[(68,284)(77,223)(77,337)(70,270)(77,257)] [(70,310)]	(73.0,274.0) null
4	[(64,277)(85,218)(84,344)(77,263)(84,264)] [(70,310)]	(78.0,273.0) null
5	[(59,271)(93,214)(91,351)(84,256)(91,271)] [(70,310)]	(83.0,272.0) (140.0,320.0)
12	[(123,238)(123,195)(147,407)(138,199)(160,297)] [(139,320)]	(138.0,267.0) (139.0,321.0)
13	[(124,238)(123,195)(147,407)(138,199)(160,297)] [(139,321)]	(138.0,267.0) (139.0,321.0)
2	[(70,293)] [(70,270)(70,230)(70,310)(70,250)(70,330)]	null null
2	[(70,293)(70,250)] [(70,270)(70,230)(70,310)(70,330)]	null null
3	[(68,284)(70,270)(77,223)(77,257)(77,337)] [(70,310)]	(73.0,274.0) null
4	[(64,277)(77,263)(85,218)(84,264)(84,344)] [(70,310)]	(78.0,273.0) null
5	[(59,271)(84,256)(93,214)(91,271)(91,351)] [(70,310)]	(83.0,272.0) (140.0,320.0)
12	[(120,238)(138,199)(120,195)(160,297)(147,407)] [(139,320)]	(137.0,267.0) (139.0,321.0)
13	[(124,238)(138,199)(123,195)(160,297)(147,407)] [(139,321)]	(138.0,267.0) (139.0,321.0)
2	[(70,293)] [(70,230)(70,270)(70,250)(70,310)(70,330)]	null null
2	[(70,250)(70,293)] [(70,230)(70,270)(70,310)(70,330)]	null null
3	[(77,223)(70,270)(77,257)(68,284)(77,337)] [(70,310)]	(73.0,274.0) null
4	[(85,218)(77,263)(84,264)(64,277)(84,344)] [(70,310)]	(78.0,273.0) null
