PB
2;[573,127];1;
2;[309,64];1;
2;[349,64];2;
2;[389,64];2;
2;[429,64];2;
2;[467,80];2;
2;[499,104];2;

PB
2;[573,127];1;
2;[309,64];1;
2;[349,64];2;
2;[389,64];2;
2;[429,64];2;
2;[467,80];2;
2;[499,104];2;

PB
3;[573,127];1;
3;[309,64];1;
3;[349,64];2;
3;[389,64];2;
3;[429,64];2;
3;[467,80];2;
3;[499,104];2;

PB
4;[573,127];1;
4;[309,64];1;
4;[349,64];2;
4;[389,64];2;
4;[429,64];2;
4;[467,80];2;
4;[499,104];2;

PB
5;[573,127];1;0.006542815314000045;
5;[309,64];1;0.007943847404538594;
5;[349,64];2;0.010276208273806467;
5;[389,64];2;0.012473602653013388;
5;[429,64];2;0.013430928759326343;
5;[467,80];2;0.01244629954959505;
5;[499,104];2;0.00879228885672634;

PB
8;[573,127];1;0.006542815314000045;
8;[309,64];1;0.007943847404538594;
8;[349,64];2;0.010276208273806467;
8;[389,64];2;0.012473602653013388;
8;[429,64];2;0.013430928759326343;
8;[467,80];2;0.01244629954959505;
8;[499,104];2;0.00879228885672634;

PB
9;[573,127];1;0.006542815314000045;
9;[309,64];1;0.007943847404538594;
9;[349,64];2;0.010276208273806467;
9;[389,64];2;0.012473602653013388;
9;[429,64];2;0.013430928759326343;
9;[467,80];2;0.01244629954959505;
9;[499,104];2;0.00879228885672634;

PB
13;[358,228];2;0.005040364680698296;
13;[374,206];2;0.0056613604045672025;
13;[393,157];4;0.007150637206104003;
13;[397,122];5;0.007850805537084391;
13;[471,91];4;0.0076561226714174264;
13;[556,111];3;0.005862063983511387;
13;[587,91];2;0.004997457117272319;
13;[296,53];1;0.004226821672532691;
13;[336,53];2;0.004985432973558092;
13;[376,53];2;0.005931747523834818;
13;[416,53];3;0.00711316559040518;
13;[641,90];1;0.004020745443263943;
13;[261,97];1;0.004299550275584299;
13;[509,106];2;0.006804768273985893;
13;[300,108];2;0.005099100368240507;
13;[340,108];3;0.006093361557397198;
13;[589,137];2;0.00489720994495241;
13;[636,137];1;0.004056829648101394;
13;[421,150];3;0.00724654950284963;
13;[327,239];1;0.004166616696248212;

PB
22;[242,107];3;0.003551309405222632;
22;[332,257];3;0.0041273451381799294;
22;[397,122];4;0.005892789766699928;
22;[397,191];3;0.005506745547251993;
22;[436,250];4;0.004483202462181287;
22;[443,309];3;0.0037049263926524478;
22;[470,302];4;0.003700855207783192;
22;[471,91];3;0.005013018121790168;
22;[473,250];3;0.003980771747729913;
22;[556,111];3;0.0039266707556718135;
22;[589,91];2;0.0034730204681657664;
22;[296,53];1;0.003284421829203604;
22;[336,53];2;0.003742147883414116;
22;[376,53];2;0.004296576293110325;
22;[416,53];3;0.004974646354722925;
22;[215,88];2;0.003212054350108875;
22;[641,90];1;0.0029730356072763535;
22;[508,107];2;0.004482066254225651;
22;[290,108];2;0.004106623508667477;
22;[330,108];2;0.004661058643907966;
22;[215,124];2;0.0032227429266028147;
22;[590,138];2;0.0034235231150504244;
22;[629,142];1;0.0030432360105382716;
22;[291,260];3;0.0036220195126888625;
22;[252,272];1;0.0031839084298380307;
22;[578,291];1;0.0028077693552790526;
22;[335,297];3;0.003633333342404714;
22;[326,336];1;0.003200061389831815;
22;[472,359];2;0.0030100806114075913;

PB
23;[261,107];1;0.004189511950325992;
23;[343,238];3;0.00462953987447077;
23;[393,157];4;0.006756216205145431;
23;[396,122];4;0.007535851265093962;
23;[471,91];3;0.007559378607074768;
23;[556,111];3;0.005721076475355354;
23;[587,91];2;0.004886223875668066;
23;[296,53];1;0.004046182085810051;
23;[336,53];2;0.0047403230225781775;
23;[376,53];2;0.005599883754026899;
23;[416,53];3;0.006666501919623764;
23;[641,90];1;0.003944422518816936;
23;[301,107];2;0.0049382518282616176;
23;[344,107];3;0.005963339043605044;
23;[508,107];2;0.006686178178016659;
23;[434,108];4;0.008015480291838776;
23;[590,138];2;0.004763287466024334;
23;[629,142];1;0.004074815878752984;
23;[421,150];3;0.007202015202411232;
23;[313,251];2;0.004090990727693571;
23;[343,261];2;0.004041208075236919;

PB
27;[222,290];1;0.002977654309903415;
27;[242,107];3;0.0032700645576491296;
27;[246,276];2;0.003229094529524613;
27;[304,256];4;0.00391311770323499;
27;[332,257];4;0.0042619978914931475;
27;[337,363];2;0.0030799611330524714;
27;[397,122];4;0.00533724549061545;
27;[397,191];4;0.0054554260444870635;
27;[459,308];2;0.0036854144863240203;
27;[464,337];3;0.003373168637562577;
27;[465,273];4;0.0041315286078874485;
27;[471,91];3;0.0043614271587226125;
27;[552,108];3;0.003475783607476456;
27;[557,275];2;0.0033447749376046537;
27;[589,86];3;0.0030924671472695345;
27;[296,53];1;0.003003159993450415;
27;[336,53];2;0.0033859792890569037;
27;[376,53];2;0.0038455412821073315;
