"Env";"Team size";"Step";"Cycle time";"Area";"Distance"
1;2;271;776;96;2697,6
1;2;241;772;96;2389,7
1;2;244;774;95,1;2416,5
1;2;241;772;95,9;2386,3
1;2;241;772;96;2387,1
1;2;244;777;95,2;2416,8
1;2;253;772;95;2506,8
1;2;241;772;96;2386,3
1;2;241;772;96;2388,4
1;2;241;772;95,9;2386,1
1;3;203;771;96,1;1960,3
1;3;204;771;95;1968,9
1;3;217;772;95,3;2098,5
1;3;203;771;96,1;1958,2
1;3;203;771;95,2;1959,8
1;3;217;775;95,3;2098,1
1;3;203;771;95,2;1960,7
1;3;203;771;95,2;1959,7
1;3;180;775;95;1728,5
1;3;203;771;96,1;1959,3
1;4;177;773;95;1674,4
1;4;179;772;98,4;1693,7
1;4;179;772;95,5;1693
1;4;179;772;95,5;1693,2
1;4;182;771;95;1724,9
1;4;178;776;95,2;1720,2
1;4;183;771;96,4;1735,4
1;4;179;772;98,1;1693,6
1;4;185;773;98,1;1755,1
1;4;179;772;95,5;1693,4
1;5;137;769;95,3;1311,7
1;5;164;772;95,1;1578,8
1;5;154;770;95,8;1487,2
1;5;136;775;95;1301,1
1;5;158;771;96,1;1522
1;5;143;816;96;1350
1;5;164;782;95,5;1585,2
1;5;162;799;96;1534,6
1;5;169;780;95,3;1635,1
1;5;144;792;95,5;1392,5
2;2;289;784;98,6;2874,9
2;2;289;781;98,6;2874,9
2;2;289;779;98,6;2874,9
2;2;289;779;98,6;2874,9
2;2;289;781;98,6;2874,9
2;2;289;784;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;3;147;780;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;775;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;780;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;4;182;788;96,6;1737,1
2;4;182;784;96,6;1737,1
2;4;182;789;96,6;1736,1
2;4;182;788;96,6;1732,3
2;4;182;784;96,6;1736,9
2;4;158;802;95,1;1498,8
2;4;159;796;95,1;1507,2
2;4;158;792;95,1;1497
2;4;159;790;95;1502,5
2;4;182;788;96,6;1736,1
2;5;133;831;95,1;1234,7
2;5;133;825;95,1;1233,5
2;5;133;819;95,1;1234,7
2;5;133;836;95,1;1233,5
2;5;133;836;95,1;1235,1
2;5;133;874;95;1238,2
2;5;135;850;96,2;1257,6
2;5;133;819;95,1;1235,1
2;5;133;831;95,1;1234,7
2;5;133;831;95,1;1234,6
3;2;167;770;95,1;1648,2
3;2;171;770;95,3;1687,1
3;2;167;770;95,1;1644,3
3;2;167;770;95,1;1649,1
3;2;167;770;95,1;1645,1
3;2;171;788;95,3;1687,1
3;2;168;769;95,4;1654,9
3;2;168;771;95;1658
3;2;168;771;95;1658
3;2;171;770;95,3;1686,9
3;3;134;769;95,2;1313,5
3;3;134;775;95,2;1312,9
3;3;119;775;95;1166,9
3;3;134;775;95,2;1310,8
3;3;134;775;95,2;1313,2
3;3;156;785;95;1503,3
3;3;157;769;95,1;1539,2
3;3;154;769;95;1508,1
3;3;113;768;95,1;1107,8
3;3;161;770;95,1;1574,8
3;4;121;775;95,7;1181
3;4;121;775;95,7;1181
3;4;121;775;95,7;1181
3;4;121;775;95,7;1181
3;4;121;775;95,7;1181
3;4;121;801;95,7;1181,1
3;4;121;775;95,7;1181,1
3;4;121;775;95,7;1181,1
3;4;121;775;95,7;1181,1
3;4;121;775;95,7;1181,1
3;5;128;827;95,7;1238,6
3;5;125;813;95,1;1207,7
3;5;105;811;95,3;1022,8
3;5;105;782;95,3;1022,6
3;5;128;802;95,7;1238,4
3;5;103;843;95,2;931,9
3;5;128;802;95,7;1239,6
3;5;128;808;95,7;1238,4
3;5;105;797;95,3;1022,8
3;5;105;782;95,3;1022,6
4;2;101;930;95,9;985,7
4;2;101;876;95,9;985,6
4;2;101;883;95,9;985,8
4;2;101;883;95,9;986,6
4;2;101;891;95,9;985,7
4;2;100;906;95,2;982,6
4;2;101;914;95,9;985,8
4;2;101;881;95,9;986,2
4;2;101;889;95,9;989,5
4;2;101;882;95,9;980,9
4;3;99;989;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;1029;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;3;99;966;95,7;945,4
4;4;68;1014;96,1;619,6
4;4;75;983;95,1;687
4;4;77;989;95,3;707,5
4;4;75;983;95,1;687
4;4;75;983;95,1;687
4;4;75;1077;95,1;687
4;4;77;1000;95,5;707,7
4;4;75;983;95,1;687
4;4;77;999;95,3;707,5
4;4;75;983;95,1;687
4;5;50;1132;95,7;436,1
4;5;50;1069;95,7;435,9
4;5;50;1070;95,7;436,1
4;5;50;1100;95,7;435,7
4;5;50;1100;95,7;436,1
4;5;51;1231;95,9;444,2
4;5;50;1069;95,7;436,1
4;5;50;1054;95,7;435,8
4;5;50;1070;95,7;435,8
4;5;50;1054;95,7;435,8
5;2;388;774;95,5;3845,8
5;2;424;775;95,3;4203,8
5;2;363;775;95,9;3598
5;2;405;774;95,4;4019,4
5;2;363;775;95,9;3601,7
5;2;363;777;95,1;3572,3
5;2;363;775;95,9;3596,4
5;2;398;774;95,4;3947,5
5;2;399;774;95;3964
5;2;358;774;95,3;3551,8
5;3;185;773;95,2;1825,2
5;3;188;771;95,2;1859,5
5;3;191;773;95,3;1885,9
5;3;186;771;95,3;1837,6
5;3;189;772;95,2;1855,7
5;3;191;773;95,3;1885,9
5;3;188;771;95,3;1857,4
5;3;187;771;95,3;1844,1
5;3;191;773;95,3;1885,9
5;3;188;775;95,1;1858,6
5;4;251;791;95,3;2490,6
5;4;228;778;95,4;2248,9
5;4;251;785;95,3;2490,6
5;4;251;782;95,3;2490,6
5;4;251;782;95,3;2490,6
5;4;307;781;95,5;3045,9
5;4;236;779;95,6;2339
5;4;249;785;95,2;2470,9
5;4;247;773;95,7;2437,1
5;4;251;779;95,3;2490,6
5;5;176;793;95;1729,7
5;5;176;793;95;1735,6
5;5;175;802;95,2;1724,9
5;5;176;789;95;1736,5
5;5;176;797;95;1733,7
5;5;146;818;95,1;1443
5;5;176;802;95;1737,4
5;5;140;785;95;1362,5
5;5;184;798;95;1817
5;5;181;793;95;1783,9
6;2;203;853;95,2;1993
6;2;203;841;95,1;2008,1
6;2;203;841;95,2;2007,8
6;2;203;845;95,2;1982,4
6;2;203;845;95,2;1981,5
6;2;203;864;95,1;2007,8
6;2;203;837;95,2;1994,7
6;2;203;841;95,1;2007
6;2;203;841;95,2;2010
6;2;203;841;95,1;2007,5
6;3;142;911;95,5;1369,4
6;3;143;900;95;1326
6;3;139;925;95,1;1355
6;3;112;872;95,2;1082,4
6;3;91;902;95,2;878,9
6;3;105;924;95,1;1029
6;3;104;924;95,4;1001,7
6;3;100;914;95;943,5
6;3;103;901;95;989,3
6;3;105;886;96,3;1011,5
6;4;98;973;95,5;884
6;4;92;942;97,7;898,4
6;4;89;958;95,2;865,1
6;4;90;949;95,4;878,7
6;4;92;951;97,7;898,4
6;4;92;1018;97,7;898,4
6;4;96;946;97,5;925,2
6;4;92;950;97,7;898,4
6;4;88;962;95;858,5
6;4;92;950;97,7;898,4
6;5;89;1070;96,6;866,1
6;5;90;1060;95,1;874,7
6;5;90;1018;95,3;871,4
6;5;91;1055;97,8;884
6;5;91;1049;98;882,4
6;5;91;1107;98,2;884,1
6;5;91;1055;98,2;882,9
6;5;85;1031;95,1;822,1
6;5;91;1029;98,2;882,9
6;5;86;1031;95,1;833
3;5;128;893;95,7;1238,3
3;5;116;991;95,2;1135,6
5;5;178;861;95;1756,9
3;5;103;998;95,1;989,4
3;5;102;906;95;985,7
3;5;99;830;95,4;954,5
3;5;150;928;95,2;933,9
3;5;100;860;95,4;955,9
1;6;116;858;95,2;1095,9
1;6;132;811;95,8;1259,3
1;6;120;814;95,9;1140,9
1;6;142;782;95,7;1365
1;6;113;803;95,7;1070,5
1;6;142;833;95,7;1365
1;6;114;821;95,3;1082,2
1;6;143;814;95,5;1367,7
1;6;138;770;95,3;1324,2
1;6;135;775;95;1304,1
1;7;110;855;95,2;1058,2
1;7;106;851;95,2;1017,3
1;7;119;874;95,5;1145,6
1;7;106;856;95;1017,7
