"Env";"Team size";"Step";"Cycle time";"Area";"Distance"
1;2;241;779;96;2385,4
1;2;241;772;95,8;2380,9
1;2;253;772;95,3;2496,9
1;2;241;772;95,9;2387,4
1;2;253;772;95;2506,8
1;2;271;776;96;2697,6
1;2;241;772;96;2385,4
1;2;241;772;96;2389,5
1;2;241;772;96;2386,8
1;2;271;773;96;2697,6
1;3;203;771;96;1957,9
1;3;203;771;96,1;1958,6
1;3;203;771;95,2;1960,7
1;3;203;771;96;1958,4
1;3;203;771;96;1958,4
1;3;203;775;95,2;1960,7
1;3;203;771;96;1956,4
1;3;203;771;96,1;1958,5
1;3;203;771;95,1;1955
1;3;203;771;95,2;1959,8
1;4;183;771;95;1735,5
1;4;180;771;95,5;1704
1;4;183;771;95,5;1735
1;4;182;771;95;1725,1
1;4;183;773;98,4;1733,6
1;4;135;774;96,1;1253,8
1;4;185;773;95,5;1754,1
1;4;179;771;98,1;1694,3
1;4;179;772;95,5;1693
1;4;182;771;95;1724,9
1;5;152;772;95,2;1461,2
1;5;155;770;95,8;1496
1;5;155;770;95,6;1495,2
1;5;172;771;96,1;1660,1
1;5;152;770;95,6;1463
1;5;159;785;95,5;1527
1;5;140;777;95,8;1361,9
1;5;155;770;96;1486,3
1;5;155;775;95,8;1494,9
1;5;146;776;96;1419,3
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;779;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;2;289;773;98,6;2874,9
2;3;147;775;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;198;782;95,9;1913,9
2;3;147;785;95,6;1415,5
2;3;147;769;95,6;1415,5
2;3;147;775;95,6;1415,5
2;3;147;769;95,6;1415,5
2;4;182;793;96,6;1736,6
2;4;159;800;95;1505,7
2;4;159;805;95;1506,4
2;4;159;801;95;1504,5
2;4;163;807;96,7;1549,4
2;4;182;801;96,6;1736,1
2;4;158;797;95,1;1497,2
2;4;182;784;96,6;1737,4
2;4;159;791;95;1508,5
2;4;182;784;96,6;1731,7
2;5;137;881;95,1;1265,4
2;5;137;840;95,1;1265,1
2;5;132;817;95;1218,1
2;5;135;833;96,1;1245,3
2;5;132;812;95;1220,3
2;5;151;837;95,1;1410,3
2;5;135;850;96,1;1248
2;5;132;805;95;1217,2
2;5;135;821;96,1;1246,2
2;5;132;805;95;1217
3;2;171;770;95,3;1687,1
3;2;167;770;95,1;1648,7
3;2;168;771;95;1658
3;2;167;770;95,1;1649
3;2;167;770;95,1;1650,2
3;2;168;785;95;1658
3;2;168;771;95;1658
3;4;109;812;95,1;1061,3
3;4;109;777;95,1;1061,3
3;4;109;776;95,1;1061,3
3;4;109;776;95,1;1061,3
3;4;109;776;95,1;1061,3
3;4;132;794;95,6;1301,3
3;4;109;784;95,2;1061,8
3;4;109;777;95,2;1061,8
3;4;109;776;95,2;1061,8
3;4;109;777;95,2;1061,8
3;5;99;817;95,6;961,3
3;5;103;851;95,1;988,8
3;5;98;787;95,3;950,8
3;5;99;809;95,6;961,3
3;5;125;831;95,1;1207,6
3;5;105;821;95;1000,2
3;5;103;836;95,1;988,8
3;5;99;801;95,5;961,5
3;5;125;807;95,1;1205,8
3;5;100;801;95,1;961,8
4;4;68;1071;95,7;619
4;4;87;991;95,4;806,6
4;4;77;989;96;707,9
4;4;87;1009;95,4;806,6
4;4;75;983;95,1;687
4;4;74;1132;95,4;678,4
4;4;77;966;95,6;708,1
4;4;68;990;95,8;619
4;4;75;1005;95,1;687
4;4;75;994;95,1;687
4;5;47;1188;95,3;405,8
4;5;50;1117;95,7;435,8
4;5;50;1084;95,7;436,1
4;5;50;1069;95,7;436,1
4;5;52;1106;96,3;450,7
4;5;64;1324;95,8;577,4
4;5;49;1234;95,8;424,2
4;5;48;1145;95,1;413,4
4;5;50;1116;95,7;436,1
4;5;50;1084;95,7;435,8
5;4;312;784;95,3;3098,8
5;4;227;782;95,6;2248,9
5;4;238;787;95;2359,3
5;4;251;792;95,3;2490,6
5;4;238;781;95;2359,3
5;4;265;776;95,2;2630
5;4;288;782;95,4;2859,1
5;4;237;773;95,4;2349,1
5;4;248;773;95,3;2414,3
5;4;288;776;95,4;2859,1
5;5;178;804;95;1756,9
5;5;176;802;95;1738,9
5;5;180;796;95;1779
5;5;180;795;95;1778,1
5;5;177;799;95;1747,4
5;5;188;809;95,1;1853,8
5;5;178;791;95;1757,1
5;5;176;793;96,9;1737,7
5;5;177;795;95;1747,8
5;5;181;823;95;1792,2
6;4;92;1001;97,7;898,4
