Total nodes: 38   Frontiers: 10   Edges: 153
Nodes degrees
   (456,390)    17
   (450,426)    15
   (564,400)    15
   (595,387)    14
   [556,287]    12
   [566,287]    12
   [536,288]    12
   [576,287]    12
   [546,288]    12
   [576,291]    12
   [528,294]    12
   (596,426)    12
   (437,362)    12
   (612,376)    12
   (481,407)    11
   [568,295]    11
   [527,303]    11
   [527,313]    11
   (633,315)    10
   [531,321]    10
   [538,328]    9
   (368,312)    8
   [538,318]    6
   [538,308]    6
   [538,298]    5
   [538,288]    3
   [532,280]    3
   [524,203]    2
   [533,187]    2
   [524,253]    2
   [524,223]    2
   [524,243]    2
   [524,263]    2
   [526,194]    2
   [524,213]    2
   [525,273]    2
   [524,233]    2
   [540,180]    1
Max: 17   Min: 1   Avg: 8

Closeness centrality:
   [538,328]    1
   [538,318]    0,984
   [531,321]    0,968
   [538,308]    0,955
   [527,313]    0,919
   [538,298]    0,916
   [538,288]    0,871
   [527,303]    0,858
   [532,280]    0,823
   [528,294]    0,801
   [525,273]    0,773
   [536,288]    0,738
   [524,263]    0,721
   [524,253]    0,668
   [546,288]    0,668
   [524,243]    0,616
   [556,287]    0,602
   [524,233]    0,564
   [566,287]    0,54
   [524,223]    0,514
   (437,362)    0,488
   [576,287]    0,481
   [524,213]    0,465
   [576,291]    0,462
   [568,295]    0,434
   [524,203]    0,419
   [526,194]    0,377
   (595,387)    0,352
   [533,187]    0,335
   (564,400)    0,332
   [540,180]    0,295
   (456,390)    0,247
   (612,376)    0,217
   (596,426)    0,2
   (481,407)    0,19
   (633,315)    0,179
   (450,426)    0,142
   (368,312)    0

Betweenness centrality:
   [538,328]    1
   [531,321]    0,906
   [538,298]    0,906
   [538,308]    0,894
   [538,318]    0,874
   [538,288]    0,871
   [532,280]    0,83
   [525,273]    0,784
   [527,313]    0,734
   [524,263]    0,731
   [524,253]    0,673
   [527,303]    0,612
   [524,243]    0,61
   [528,294]    0,572
   [524,233]    0,54
   [536,288]    0,502
   [524,223]    0,464
   [546,288]    0,427
   [524,213]    0,383
   [556,287]    0,345
   [524,203]    0,296
   [566,287]    0,258
   [526,194]    0,203
   [576,287]    0,165
   [533,187]    0,104
   [576,291]    0,078
   [568,295]    0,012
   (633,315)    0
   (481,407)    0
   (368,312)    0
   (595,387)    0
   (596,426)    0
   (450,426)    0
   (564,400)    0
   (437,362)    0
   [540,180]    0
   (456,390)    0
   (612,376)    0
