Node    [130,180] -> {[126,175]=6,403  }
Node    [126,175] -> {[130,180]=6,403  [122,167]=8,944  }
Node    [122,167] -> {[126,175]=8,944  [122,157]=10,0  }
Node    [122,157] -> {[122,147]=10,0  [122,167]=10,0  }
Node    [122,147] -> {[124,138]=9,22  [122,157]=10,0  }
Node    [124,138] -> {[122,147]=9,22  [132,132]=10,0  }
Node    [132,132] -> {[124,138]=10,0  [142,132]=10,0  }
Node    [142,132] -> {[152,132]=10,0  [132,132]=10,0  }
Node    [152,132] -> {[162,132]=10,0  [142,132]=10,0  }
Node    [162,132] -> {[172,132]=10,0  [152,132]=10,0  }
Node    [172,132] -> {[182,132]=10,0  [162,132]=10,0  }
Node    [182,132] -> {[192,132]=10,0  [172,132]=10,0  }
Node    [192,132] -> {[202,132]=10,0  [182,132]=10,0  }
Node    [202,132] -> {[212,132]=10,0  [192,132]=10,0  }
Node    [212,132] -> {[219,125]=9,899  [202,132]=10,0  }
Node    [219,125] -> {[212,132]=9,899  [226,118]=9,899  }
Node    [226,118] -> {[219,125]=9,899  [234,112]=10,0  }
Node    [234,112] -> {[244,112]=10,0  [226,118]=10,0  }
Node    [244,112] -> {[234,112]=10,0  [254,112]=10,0  }
Node    [254,112] -> {[264,112]=10,0  [244,112]=10,0  }
Node    [264,112] -> {[274,112]=10,0  [254,112]=10,0  }
Node    [274,112] -> {[283,114]=9,22  [264,112]=10,0  }
Node    [283,114] -> {[293,114]=10,0  [274,112]=9,22  }
Node    [293,114] -> {[303,114]=10,0  [283,114]=10,0  }
Node    [303,114] -> {[293,114]=10,0  [310,121]=9,899  }
Node    [310,121] -> {[303,114]=9,899  [317,128]=9,899  }
Node    [317,128] -> {[310,121]=9,899  [324,135]=9,899  }
Node    [324,135] -> {[331,142]=9,899  [317,128]=9,899  }
Node    [331,142] -> {[338,149]=9,899  [324,135]=9,899  }
Node    [338,149] -> {[348,150]=10,05  [331,142]=9,899  }
Node    [348,150] -> {[358,150]=10,0  [338,149]=10,05  }
Node    [358,150] -> {[348,150]=10,0  [368,150]=10,0  }
Node    [368,150] -> {[358,150]=10,0  [369,154]=4,123  }
Node    [369,154] -> {[368,150]=4,123  [369,164]=10,0  }
Node    [369,164] -> {[362,171]=9,899  [369,154]=10,0  }
Node    [362,171] -> {[355,178]=9,899  [369,164]=9,899  }
Node    [355,178] -> {[362,171]=9,899  [348,185]=9,899  }
Node    [348,185] -> {[355,178]=9,899  [341,192]=9,899  }
Node    [341,192] -> {[348,185]=9,899  [331,193]=10,05  }
Node    [331,193] -> {[341,192]=10,05  [321,193]=10,0  }
Node    [321,193] -> {[313,198]=9,434  [331,193]=10,0  }
Node    [313,198] -> {[306,205]=9,899  [321,193]=9,434  }
Node    [306,205] -> {[301,212]=8,602  [313,198]=9,899  }
Node    [301,212] -> {[308,219]=9,899  [306,205]=8,602  }
Node    [308,219] -> {[301,212]=9,899  [315,226]=9,899  }
Node    [315,226] -> {[322,233]=9,899  [308,219]=9,899  }
Node    [322,233] -> {[326,241]=8,944  [315,226]=9,899  }
Node    [326,241] -> {[322,233]=8,944  [326,251]=10,0  }
Node    [326,251] -> {[326,241]=10,0  [326,261]=10,0  }
Node    [326,261] -> {[326,251]=10,0  [326,271]=10,0  }
Node    [326,271] -> {[329,280]=9,487  [326,261]=10,0  }
Node    [329,280] -> {[326,271]=9,487  [339,280]=10,0  }
Node    [339,280] -> {[329,280]=10,0  [349,280]=10,0  }
Node    [349,280] -> {[359,280]=10,0  [339,280]=10,0  }
Node    [359,280] -> {[369,281]=10,05  [349,280]=10,0  }
Node    [369,281] -> {[379,281]=10,0  [359,280]=10,05  }
Node    [379,281] -> {[369,281]=10,0  [389,281]=10,0  }
Node    [389,281] -> {[379,281]=10,0  [399,281]=10,0  }
Node    [399,281] -> {[389,281]=10,0  [409,281]=10,0  }
Node    [409,281] -> {[399,281]=10,0  [419,281]=10,0  }
Node    [419,281] -> {[409,281]=10,0  [429,281]=10,0  }
Node    [429,281] -> {[419,281]=10,0  [439,281]=10,0  }
Node    [439,281] -> {[429,281]=10,0  [449,281]=10,0  }
Node    [449,281] -> {[439,281]=10,0  [459,281]=10,0  }
Node    [459,281] -> {[449,281]=10,0  [469,281]=10,0  }
Node    [469,281] -> {[459,281]=10,0  [479,281]=10,0  }
Node    [479,281] -> {[469,281]=10,0  [489,281]=10,0  }
Node    [489,281] -> {[479,281]=10,0  [499,281]=10,0  }
Node    [499,281] -> {[489,281]=10,0  [509,281]=10,0  }
Node    [509,281] -> {[519,281]=10,0  [499,281]=10,0  }
Node    [519,281] -> {[529,281]=10,0  [509,281]=10,0  }
Node    [529,281] -> {[519,281]=10,0  [539,281]=10,0  }
Node    [539,281] -> {[529,281]=10,0  [549,281]=10,0  }
Node    [549,281] -> {[539,281]=10,0  [559,281]=10,0  }
