Node    [130,180] -> {[126,175]=6,403  }
Node    [126,175] -> {[130,180]=6,403  [122,167]=8,944  }
Node    [122,167] -> {[126,175]=8,944  [122,157]=10,0  }
Node    [122,157] -> {[122,147]=10,0  [122,167]=10,0  }
Node    [122,147] -> {[124,138]=9,22  [122,157]=10,0  }
Node    [124,138] -> {[122,147]=9,22  [132,132]=10,0  }
Node    [132,132] -> {[124,138]=10,0  [142,132]=10,0  }
Node    [142,132] -> {[152,132]=10,0  [132,132]=10,0  }
Node    [152,132] -> {[162,132]=10,0  [142,132]=10,0  }
Node    [162,132] -> {[172,132]=10,0  [152,132]=10,0  }
Node    [172,132] -> {[182,132]=10,0  [162,132]=10,0  }
Node    [182,132] -> {[192,132]=10,0  [172,132]=10,0  }
Node    [192,132] -> {[202,132]=10,0  [182,132]=10,0  }
Node    [202,132] -> {[212,132]=10,0  [192,132]=10,0  }
Node    [212,132] -> {[219,125]=9,899  [202,132]=10,0  }
Node    [219,125] -> {[212,132]=9,899  [226,118]=9,899  }
Node    [226,118] -> {[219,125]=9,899  [234,112]=10,0  }
Node    [234,112] -> {[244,112]=10,0  [226,118]=10,0  }
Node    [244,112] -> {[234,112]=10,0  [254,112]=10,0  }
Node    [254,112] -> {[264,112]=10,0  [244,112]=10,0  }
Node    [264,112] -> {[274,112]=10,0  [254,112]=10,0  }
Node    [274,112] -> {[283,114]=9,22  [264,112]=10,0  }
Node    [283,114] -> {[293,114]=10,0  [274,112]=9,22  }
Node    [293,114] -> {[303,114]=10,0  [283,114]=10,0  }
Node    [303,114] -> {[293,114]=10,0  [310,121]=9,899  }
Node    [310,121] -> {[303,114]=9,899  [317,128]=9,899  }
Node    [317,128] -> {[310,121]=9,899  [324,135]=9,899  }
Node    [324,135] -> {(343,191)=58,0  [317,128]=9,899  (520,109)=206,77  (481,186)=190,995  }
Node f  [343,191] -> {[324,135]=58,0  }
Node f  [520,109] -> {[324,135]=206,77  }
Node f  [481,186] -> {[324,135]=190,995  }
