Node    [130,170] -> {[130,180]=10,0  }
Node    [130,180] -> {[130,170]=10,0  [136,176]=7,211  }
Node    [136,176] -> {[130,180]=7,211  [143,169]=9,899  }
Node    [143,169] -> {[136,176]=9,899  [146,160]=9,487  }
Node    [146,160] -> {[146,150]=10,0  [143,169]=9,487  }
Node    [146,150] -> {[149,141]=9,487  [146,160]=10,0  }
Node    [149,141] -> {[146,150]=9,487  [149,131]=10,0  }
Node    [149,131] -> {[149,141]=10,0  [150,122]=9,055  }
Node    [150,122] -> {[157,115]=9,899  [149,131]=9,055  }
Node    [157,115] -> {[150,122]=9,899  [165,109]=10,0  }
Node    [165,109] -> {[157,115]=10,0  [175,109]=10,0  }
Node    [175,109] -> {[184,112]=9,487  [165,109]=10,0  }
Node    [184,112] -> {[175,109]=9,487  [194,112]=10,0  }
Node    [194,112] -> {[184,112]=10,0  [204,112]=10,0  }
Node    [204,112] -> {[194,112]=10,0  [214,112]=10,0  }
Node    [214,112] -> {[224,112]=10,0  [204,112]=10,0  }
Node    [224,112] -> {[234,112]=10,0  [214,112]=10,0  }
Node    [234,112] -> {[224,112]=10,0  [244,112]=10,0  }
Node    [244,112] -> {[234,112]=10,0  [254,112]=10,0  }
Node    [254,112] -> {[264,112]=10,0  [244,112]=10,0  }
Node    [264,112] -> {[274,112]=10,0  [254,112]=10,0  }
Node    [274,112] -> {[282,116]=8,944  [264,112]=10,0  }
Node    [282,116] -> {[292,116]=10,0  [274,112]=8,944  }
Node    [292,116] -> {[302,116]=10,0  [282,116]=10,0  }
Node    [302,116] -> {[312,116]=10,0  [292,116]=10,0  }
Node    [312,116] -> {[302,116]=10,0  [322,116]=10,0  }
Node    [322,116] -> {[312,116]=10,0  [332,116]=10,0  }
Node    [332,116] -> {[322,116]=10,0  [341,117]=9,055  }
Node    [341,117] -> {[348,124]=9,899  [332,116]=9,055  }
Node    [348,124] -> {[356,128]=8,944  [341,117]=9,899  }
Node    [356,128] -> {[348,124]=8,944  [366,128]=10,0  }
Node    [366,128] -> {[356,128]=10,0  [359,135]=9,899  }
Node    [359,135] -> {[352,142]=9,899  [366,128]=9,899  }
Node    [352,142] -> {[345,149]=9,899  [359,135]=9,899  }
Node    [345,149] -> {[352,142]=9,899  [339,157]=10,0  }
Node    [339,157] -> {[339,167]=10,0  [345,149]=10,0  }
Node    [339,167] -> {[339,157]=10,0  [339,177]=10,0  }
Node    [339,177] -> {[339,187]=10,0  [339,167]=10,0  }
Node    [339,187] -> {[339,177]=10,0  [339,197]=10,0  }
Node    [339,197] -> {[339,187]=10,0  [332,204]=9,899  }
Node    [332,204] -> {[325,211]=9,899  [339,197]=9,899  }
Node    [325,211] -> {[332,204]=9,899  [315,211]=10,0  }
Node    [315,211] -> {[305,211]=10,0  [325,211]=10,0  }
Node    [305,211] -> {[315,211]=10,0  [305,215]=4,0  }
Node    [305,215] -> {[305,211]=4,0  [311,223]=10,0  }
Node    [311,223] -> {[305,215]=10,0  [311,233]=10,0  }
Node    [311,233] -> {[311,223]=10,0  [311,243]=10,0  }
Node    [311,243] -> {[311,233]=10,0  [311,253]=10,0  }
Node    [311,253] -> {[311,243]=10,0  [311,263]=10,0  }
Node    [311,263] -> {[311,273]=10,0  [311,253]=10,0  }
Node    [311,273] -> {[311,283]=10,0  [311,263]=10,0  }
Node    [311,283] -> {[311,273]=10,0  [320,281]=9,22  }
Node    [320,281] -> {[330,281]=10,0  [311,283]=9,22  }
Node    [330,281] -> {[320,281]=10,0  [340,281]=10,0  }
Node    [340,281] -> {[330,281]=10,0  [350,281]=10,0  }
Node    [350,281] -> {[340,281]=10,0  [360,281]=10,0  }
Node    [360,281] -> {[350,281]=10,0  [370,281]=10,0  }
Node    [370,281] -> {[360,281]=10,0  [380,281]=10,0  }
Node    [380,281] -> {[370,281]=10,0  [390,281]=10,0  }
Node    [390,281] -> {[380,281]=10,0  [400,281]=10,0  }
