Total nodes: 51   Frontiers: 23   Edges: 50
Nodes degrees
   [207,155]    20
   [196,209]    4
   [197,155]    3
   [168,193]    3
   [110,209]    2
   [120,209]    2
   [170,148]    2
   [168,183]    2
   [168,173]    2
   [178,208]    2
   [188,208]    2
   [166,208]    2
   [140,209]    2
   [130,209]    2
   [150,209]    2
   [170,209]    2
   [160,209]    2
   [198,208]    2
   [186,209]    2
   [206,208]    2
   [176,209]    2
   [168,163]    2
   [160,197]    2
   [158,202]    2
   [168,153]    2
   [177,155]    2
   [187,155]    2
   [100,210]    1
   (272,506)    1
   (385,182)    1
   (439,373)    1
   (351,499)    1
   (302,498)    1
   (385,496)    1
   (489,300)    1
   (438,432)    1
   (366,69)    1
   (323,420)    1
   (355,166)    1
   (150,401)    1
   (390,232)    1
   (398,275)    1
   (309,96)    1
   (247,76)    1
   (424,330)    1
   (345,190)    1
   (401,389)    1
   (327,127)    1
   (449,253)    1
   (404,380)    1
   (352,524)    1
Max: 20   Min: 1   Avg: 1

Closeness centrality:
   [168,153]    1
   [170,148]    0,999
   [168,163]    0,999
   [177,155]    0,995
   [168,173]    0,994
   [187,155]    0,988
   [168,183]    0,988
   [197,155]    0,979
   [168,193]    0,978
   [160,197]    0,965
   [207,155]    0,964
   [158,202]    0,956
   [166,208]    0,936
   [176,209]    0,915
   [186,209]    0,892
   [196,209]    0,867
   [206,208]    0,837
   [198,208]    0,812
   [188,208]    0,78
   [178,208]    0,748
   [170,209]    0,721
   [160,209]    0,688
   [150,209]    0,656
   [140,209]    0,623
   [130,209]    0,591
   [120,209]    0,56
   [110,209]    0,529
   [100,210]    0,498
   (247,76)    0,488
   (327,127)    0,411
   (309,96)    0,346
   (345,190)    0,323
   (355,166)    0,307
   (366,69)    0,243
   (150,401)    0,231
   (385,182)    0,23
   (398,275)    0,213
   (390,232)    0,179
   (449,253)    0,134
   (323,420)    0,106
   (424,330)    0,091
   (404,380)    0,089
   (401,389)    0,078
   (489,300)    0,075
   (439,373)    0,067
   (272,506)    0,059
   (438,432)    0,031
   (302,498)    0,029
   (351,499)    0,024
   (385,496)    0,017
   (352,524)    0

Betweenness centrality:
   [207,155]    1
   [197,155]    0,828
   [168,193]    0,828
   [168,153]    0,822
   [170,148]    0,821
   [168,163]    0,821
   [168,173]    0,817
   [177,155]    0,817
   [168,183]    0,811
   [187,155]    0,811
   [160,197]    0,775
   [158,202]    0,758
   [166,208]    0,738
   [176,209]    0,716
   [196,209]    0,696
   [186,209]    0,691
   [206,208]    0,564
   [198,208]    0,526
   [188,208]    0,486
   [178,208]    0,442
   [170,209]    0,396
   [160,209]    0,347
   [150,209]    0,296
   [140,209]    0,242
   [130,209]    0,186
   [120,209]    0,126
   [110,209]    0,064
   [100,210]    0
   (272,506)    0
   (385,182)    0
   (439,373)    0
   (351,499)    0
   (302,498)    0
   (385,496)    0
   (489,300)    0
   (438,432)    0
   (366,69)    0
   (323,420)    0
   (355,166)    0
   (150,401)    0
   (390,232)    0
   (398,275)    0
   (309,96)    0
   (247,76)    0
   (424,330)    0
   (345,190)    0
   (401,389)    0
   (327,127)    0
   (449,253)    0
   (404,380)    0
   (352,524)    0
