Total nodes: 79   Frontiers: 16   Edges: 256
Nodes degrees
   (365,252)    41
   (356,390)    30
   (475,411)    18
   (457,390)    18
   [226,264]    17
   (451,424)    15
   [233,271]    15
   [247,285]    14
   [254,292]    14
   [240,278]    14
   [261,299]    13
   [268,292]    13
   [275,285]    13
   (437,355)    11
   (140,362)    10
   [279,276]    10
   (680,297)    10
   (663,292)    9
   [279,266]    9
   (368,374)    8
   (359,444)    8
   (362,425)    8
   [301,238]    8
   [291,238]    8
   [281,238]    8
   [279,256]    8
   [289,245]    7
   [279,246]    7
   [280,247]    7
   [297,240]    7
   [271,249]    5
   (85,263)    5
   [262,252]    5
   [323,308]    4
   [316,301]    4
   [312,293]    4
   [309,284]    4
   [302,277]    4
   [276,266]    4
   [285,269]    4
   [295,270]    4
   [269,259]    4
   [330,315]    4
   [347,308]    3
   [337,308]    3
   [367,308]    3
   [357,308]    3
   [377,308]    3
   [397,308]    3
   [387,308]    3
   [407,308]    3
   [416,305]    3
   [423,298]    3
   [430,291]    3
   [542,186]    2
   [572,186]    2
   [562,186]    2
   [552,186]    2
   [582,186]    2
   [508,217]    2
   [533,188]    2
   [590,190]    2
   [480,245]    2
   [526,195]    2
   [487,238]    2
   [437,284]    2
   [519,202]    2
   [444,277]    2
   [494,231]    2
   [451,270]    2
   [512,209]    2
   [458,263]    2
   [501,224]    2
   [465,256]    2
   [473,252]    2
   (68,358)    1
   (85,366)    1
   (599,425)    1
   [590,180]    1
Max: 41   Min: 1   Avg: 6
Degree computed in 1 ms

Closeness centrality:
   [309,284]    0,00474
   [312,293]    0,00474
   [302,277]    0,00474
   [295,270]    0,00473
   [316,301]    0,00473
   [285,269]    0,00472
   [323,308]    0,00471
   [276,266]    0,0047
   [330,315]    0,00469
   [269,259]    0,00468
   [262,252]    0,00466
   [337,308]    0,00465
   [271,249]    0,00463
   [347,308]    0,00462
   [280,247]    0,00459
   [357,308]    0,00458
   [289,245]    0,00454
   [367,308]    0,00453
   [377,308]    0,00448
   [297,240]    0,00448
   [301,238]    0,00445
   [387,308]    0,00443
   [291,238]    0,00437
   [397,308]    0,00437
   [407,308]    0,00431
   [281,238]    0,0043
   [279,246]    0,00425
   [416,305]    0,00425
   [279,256]    0,00418
   [423,298]    0,00418
   [279,266]    0,00412
   [430,291]    0,00411
   [279,276]    0,00405
   (356,390)    0,00405
   [437,284]    0,00404
   [275,285]    0,00397
   (365,252)    0,00392
   [268,292]    0,00388
   [261,299]    0,00378
   [254,292]    0,00368
   [247,285]    0,00358
   [240,278]    0,00348
   [233,271]    0,00338
   [226,264]    0,00328
   (140,362)    0,00276
   (368,374)    0,00247
   (362,425)    0,00224
   (437,355)    0,00218
   (359,444)    0,00217
   (85,263)    0,00209
   (457,390)    0,00208
   (475,411)    0,00201
   (85,366)    0,00197
   (68,358)    0,00197
   (451,424)    0,00173
   (663,292)    0,00146
   (680,297)    0,00142
   (599,425)    0,00127
Closeness computed in 379 ms

Betweenness centrality:
   [309,284]    1535
   [312,293]    1534
   [302,277]    1534
   [295,270]    1531
   [330,315]    1531
   [285,269]    1527
   [276,266]    1522
   [337,308]    1519
   [269,259]    1515
   [316,301]    1513
   [323,308]    1506,5
   [347,308]    1506
   [262,252]    1506
   [271,249]    1501
   [357,308]    1491
   [367,308]    1474
   [377,308]    1454
   [280,247]    1441
   [387,308]    1431
   [397,308]    1404
   [407,308]    1378
   [416,305]    1350
   [289,245]    1326
   [423,298]    1320
   [297,240]    1316
   [430,291]    1310
   [301,238]    1289
   [437,284]    1275
   [291,238]    1260
   [281,238]    1233
   [279,246]    1204
   [279,256]    1175
   [279,266]    1145
   [279,276]    1120
   [275,285]    952
   [268,292]    641
   [261,299]    602,5
   [254,292]    562,7
   [247,285]    444,31667
   [240,278]    401,26667
   [233,271]    346,21667
   [226,264]    307
   (368,374)    0
   (68,358)    0
   (359,444)    0
   (362,425)    0
   (451,424)    0
   (85,366)    0
   (437,355)    0
   (140,362)    0
   (475,411)    0
   (85,263)    0
   (663,292)    0
   (599,425)    0
   (680,297)    0
   (356,390)    0
   (457,390)    0
   (365,252)    0
Betweenness computed in 125 ms
