Total nodes: 77   Frontiers: 16   Edges: 248
Nodes degrees
   (366,252)    43
   (356,390)    30
   (475,411)    18
   (457,390)    18
   [604,365]    17
   (450,425)    15
   [611,358]    15
   [584,357]    14
   [594,357]    14
   [604,357]    14
   [572,353]    13
   [576,363]    13
   [572,363]    13
   (437,355)    11
   [572,343]    10
   (680,297)    10
   [565,336]    9
   (663,292)    9
   (368,374)    8
   (359,444)    8
   [559,330]    8
   (362,424)    8
   [546,315]    7
   [552,323]    7
   [533,300]    7
   [540,307]    7
   [532,274]    6
   [528,282]    6
   [528,292]    6
   (85,263)    5
   [578,219]    4
   [574,225]    4
   [546,260]    4
   [539,267]    4
   [566,231]    4
   [556,231]    4
   [546,231]    4
   [536,231]    4
   [526,231]    4
   [484,237]    4
   [530,237]    4
   [537,244]    4
   [544,251]    4
   [538,219]    3
   [548,219]    3
   [558,219]    3
   [568,219]    3
   [530,225]    3
   [477,244]    3
   [512,231]    3
   [522,231]    3
   [502,231]    3
   [491,231]    3
   [492,231]    3
   [470,251]    2
   [630,190]    2
   [508,213]    2
   [529,192]    2
   [522,199]    2
   (141,361)    2
   [515,206]    2
   [498,228]    2
   [574,180]    2
   [564,180]    2
   [554,180]    2
   [544,180]    2
   [614,180]    2
   [604,180]    2
   [594,180]    2
   [584,180]    2
   [623,183]    2
   [502,220]    2
   [536,185]    2
   (68,358)    1
   (86,365)    1
   (599,425)    1
   [630,180]    1
Max: 43   Min: 1   Avg: 6
Degree computed in 0 ms

Closeness centrality:
   [536,231]    0,00482
   [546,231]    0,00481
   [526,231]    0,00481
   [530,237]    0,00481
   [556,231]    0,0048
   [537,244]    0,00479
   [566,231]    0,00479
   [544,251]    0,00477
   [574,225]    0,00477
   [578,219]    0,00475
   [546,260]    0,00475
   [539,267]    0,00471
   [568,219]    0,00471
   [532,274]    0,00468
   [558,219]    0,00467
   [528,282]    0,00464
   [548,219]    0,00462
   [528,292]    0,00459
   [538,219]    0,00457
   [533,300]    0,00454
   [530,225]    0,00451
   [540,307]    0,00448
   [546,315]    0,00445
   [522,231]    0,00445
   [552,323]    0,00441
   [512,231]    0,00438
   [559,330]    0,00436
   [565,336]    0,00432
   [502,231]    0,00432
   [491,231]    0,00426
   [492,231]    0,00425
   [572,343]    0,00422
   (366,252)    0,00422
   [484,237]    0,00419
   [498,228]    0,00419
   (356,390)    0,00417
   [572,353]    0,00416
   [477,244]    0,00402
   [572,363]    0,00401
   [576,363]    0,00398
   [584,357]    0,00392
   [470,251]    0,00386
   [594,357]    0,0038
   (663,292)    0,00364
   [604,357]    0,00361
   [611,358]    0,00354
   [604,365]    0,00349
   (457,390)    0,00292
   (680,297)    0,00286
   (475,411)    0,0028
   (437,355)    0,00275
   (450,425)    0,00261
   (599,425)    0,00252
   (368,374)    0,00169
   (362,424)    0,00158
   (359,444)    0,00155
   (85,263)    0,0012
   (141,361)    0,00117
   (86,365)    0,00114
   (68,358)    0,00112
Closeness computed in 225 ms

Betweenness centrality:
   [491,231]    1157
   [498,228]    1079
   [578,219]    1022
   [536,231]    1015
   [546,231]    1014
   [526,231]    1014
   [556,231]    1011
   [530,237]    1011
   [566,231]    1006
   [537,244]    1006
   [574,225]    999
   [544,251]    999
   [546,260]    990
   [568,219]    979
   [539,267]    979
   [532,274]    966
   [558,219]    964
   [528,282]    951
   [548,219]    947
   [538,219]    928
   [528,292]    908,5
   [530,225]    907
   [522,231]    884
   [512,231]    859
   [502,231]    832
   [533,300]    825
   [484,237]    820
   [492,231]    803
   [559,330]    755
   [546,315]    754
   [540,307]    753
   [552,323]    739
   [565,336]    722
   [572,353]    707
   [572,343]    673
   [584,357]    497
   [572,363]    486
   (366,252)    464
   [576,363]    451
   [594,357]    369
   [604,365]    350
   [604,357]    325
   [611,358]    279
   [477,244]    151
   [470,251]    76
   (368,374)    0
   (68,358)    0
   (359,444)    0
   (362,424)    0
   (450,425)    0
   (437,355)    0
   (86,365)    0
   (141,361)    0
   (475,411)    0
   (85,263)    0
   (663,292)    0
   (599,425)    0
   (680,297)    0
   (356,390)    0
   (457,390)    0
Betweenness computed in 38 ms
