Total nodes: 65   Frontiers: 2   Edges: 86
Nodes degrees
   (568,114)    23
   [325,248]    3
   [305,216]    3
   [374,147]    3
   [374,177]    3
   [302,209]    3
   [374,137]    3
   [325,238]    3
   [374,167]    3
   [335,280]    3
   [309,202]    3
   [326,278]    3
   [316,195]    3
   [325,268]    3
   [319,230]    3
   [312,223]    3
   [374,157]    3
   [325,258]    3
   [365,193]    3
   [355,193]    3
   [345,193]    3
   [335,193]    3
   [325,193]    3
   [373,187]    3
   [146,178]    2
   [343,122]    2
   [136,214]    2
   [146,148]    2
   [123,205]    2
   [149,139]    2
   [123,215]    2
   [143,207]    2
   [170,118]    2
   [307,114]    2
   [317,114]    2
   [297,114]    2
   [178,112]    2
   [277,114]    2
   [287,114]    2
   [188,112]    2
   [327,114]    2
   [228,112]    2
   [123,225]    2
   [238,112]    2
   [248,112]    2
   [156,132]    2
   [198,112]    2
   [146,198]    2
   [208,112]    2
   [336,115]    2
   [218,112]    2
   [258,112]    2
   [268,112]    2
   [350,129]    2
   [369,132]    2
   [146,168]    2
   [359,132]    2
   [130,188]    2
   [129,221]    2
   [146,188]    2
   [163,125]    2
   [146,158]    2
   [125,196]    2
   (530,279)    1
   [130,190]    1
Max: 23   Min: 1   Avg: 2
Degree computed in 1 ms

Closeness centrality:
   [369,132]    0,00578
   [374,137]    0,00572
   [374,147]    0,00563
   [374,157]    0,00553
   [374,167]    0,00542
   [374,177]    0,00531
   [373,187]    0,00519
   [365,193]    0,00507
   [355,193]    0,00495
   [345,193]    0,00483
   [335,193]    0,00471
   [325,193]    0,00458
   [316,195]    0,00447
   [309,202]    0,00435
   [302,209]    0,00422
   [305,216]    0,00413
   [312,223]    0,00401
   [319,230]    0,0039
   [325,238]    0,00378
   [325,248]    0,00366
   [325,258]    0,00355
   [325,268]    0,00344
   [326,278]    0,00334
   [335,280]    0,00324
   (568,114)    0,00271
   (530,279)    0,00163
Closeness computed in 258218 ms

Betweenness centrality:
   [369,132]    1039
   [374,137]    1024
   [374,147]    966
   [374,157]    948,16667
   [374,167]    927,33333
   [374,177]    904
   [373,187]    877
   [365,193]    848
   [355,193]    817
   [345,193]    784
   [335,193]    750
   [325,193]    717
   [316,195]    678
   [309,202]    637
   [302,209]    594
   [305,216]    550
   [312,223]    504
   [319,230]    456
   [325,238]    411
   [325,248]    358
   [325,258]    303
   [325,268]    246
   [326,278]    187
   [335,280]    127
   (568,114)    0
   (530,279)    0
Betweenness computed in 15 ms
