Total nodes: 80   Frontiers: 17   Edges: 206
Nodes degrees
   (274,182)    40
   (231,189)    38
   (259,87)    34
   [438,109]    18
   [448,109]    11
   [458,109]    10
   [466,104]    8
   [472,96]    7
   [505,87]    6
   [471,86]    6
   (182,494)    6
   (377,254)    6
   [476,90]    5
   [496,90]    5
   [486,90]    5
   [564,92]    5
   [563,76]    5
   [573,76]    5
   [541,109]    5
   [531,109]    5
   [521,109]    5
   [502,105]    5
   [510,88]    5
   [578,78]    5
   [514,79]    5
   [555,96]    5
   [512,80]    5
   [465,85]    5
   [555,82]    5
   [557,99]    5
   [564,100]    5
   [464,82]    5
   [508,97]    5
   [571,85]    5
   [464,79]    5
   [548,89]    5
   [511,109]    5
   [550,106]    5
   [468,91]    5
   (423,251)    4
   [594,100]    4
   [584,100]    4
   [574,100]    4
   [602,106]    4
   (296,505)    3
   [609,113]    3
   [616,120]    3
   (231,460)    3
   [665,124]    2
   (272,152)    2
   [628,126]    2
   [638,126]    2
   [648,126]    2
   [646,126]    2
   [637,127]    2
   [623,127]    2
   [706,127]    2
   [674,128]    2
   [684,128]    2
   [694,128]    2
   [704,129]    2
   [621,132]    2
   [630,134]    2
   [691,115]    2
   [681,115]    2
   [671,115]    2
   [661,115]    2
   [658,117]    2
   [654,118]    2
   [699,120]    2
   [654,121]    2
   (219,105)    1
   (288,72)    1
   (187,162)    1
   (345,133)    1
   [618,140]    1
   (371,572)    1
   (278,268)    1
   (328,231)    1
   (360,92)    1
Max: 40   Min: 1   Avg: 5
Degree computed in 0 ms

Closeness centrality:
   [541,109]    0,00394
   [550,106]    0,00394
   [557,99]    0,00394
   [531,109]    0,00394
   [564,92]    0,00393
   [521,109]    0,00393
   [571,85]    0,00392
   [511,109]    0,00392
   [578,78]    0,00391
   [502,105]    0,00391
   [573,76]    0,0039
   [508,97]    0,00389
   [563,76]    0,00388
   [555,82]    0,00386
   [510,88]    0,00386
   [548,89]    0,00383
   [514,79]    0,00382
   [512,80]    0,00382
   [555,96]    0,0038
   [505,87]    0,00378
   [564,100]    0,00377
   [496,90]    0,00375
   [574,100]    0,00374
   [584,100]    0,00371
   [486,90]    0,0037
   [594,100]    0,00367
   [476,90]    0,00366
   [602,106]    0,00363
   [468,91]    0,00361
   [609,113]    0,00358
   [465,85]    0,00358
   [464,82]    0,00356
   [464,79]    0,00354
   [616,120]    0,00353
   [471,86]    0,00349
   [623,127]    0,00348
   [472,96]    0,00343
   [466,104]    0,00337
   [458,109]    0,00331
   [448,109]    0,00324
   [438,109]    0,00317
   (360,92)    0,0025
   (259,87)    0,00238
   (345,133)    0,00236
   (274,182)    0,00215
   (288,72)    0,00206
   (231,189)    0,00191
   (219,105)    0,00185
   (272,152)    0,00181
   (328,231)    0,0018
   (278,268)    0,00162
   (187,162)    0,00158
   (377,254)    0,00132
   (423,251)    0,00127
   (296,505)    0,00085
   (371,572)    0,00083
   (231,460)    0,0008
   (182,494)    0,00079
Closeness computed in 494878 ms

Betweenness centrality:
   [541,109]    1543
   [550,106]    1543
   [531,109]    1541
   [557,99]    1541
   [564,92]    1537
   [521,109]    1537
   [571,85]    1531
   [511,109]    1531
   [578,78]    1524
   [502,105]    1523
   [573,76]    1516
   [508,97]    1513
   [563,76]    1506
   [555,82]    1494
   [548,89]    1480
   [564,100]    1471
   [555,96]    1464
   [510,88]    1459
   [574,100]    1453
   [514,79]    1442
   [584,100]    1433
   [512,80]    1426
   [505,87]    1414
   [602,106]    1412
   [594,100]    1411
   [609,113]    1375
   [616,120]    1367
   [496,90]    1343
   [623,127]    1333
   [486,90]    1318
   [476,90]    1283
   [468,91]    1247
   [465,85]    1214
   [464,82]    1179
   [464,79]    1143
   [471,86]    1109
   [472,96]    1015
   [466,104]    985
   [458,109]    888
   [438,109]    781
   [448,109]    709
   (274,182)    0
   (296,505)    0
   (219,105)    0
   (423,251)    0
   (272,152)    0
   (259,87)    0
   (288,72)    0
   (182,494)    0
   (187,162)    0
   (345,133)    0
   (371,572)    0
   (278,268)    0
   (328,231)    0
   (231,189)    0
   (231,460)    0
   (360,92)    0
   (377,254)    0
Betweenness computed in 32 ms
