Total nodes: 79   Frontiers: 16   Edges: 79
Nodes degrees
   [572,353]    6
   [546,316]    5
   [604,365]    5
   [470,246]    3
   [559,330]    3
   [565,336]    3
   [572,343]    3
   [584,357]    3
   [423,324]    3
   [465,251]    2
   [545,252]    2
   [563,187]    2
   [430,309]    2
   [552,323]    2
   [423,304]    2
   [546,262]    2
   [472,244]    2
   [434,301]    2
   [556,194]    2
   [426,295]    2
   [441,294]    2
   [539,269]    2
   [514,231]    2
   [524,231]    2
   [448,287]    2
   [477,239]    2
   [433,288]    2
   [532,276]    2
   [549,201]    2
   [479,237]    2
   [440,281]    2
   [540,203]    2
   [530,203]    2
   [455,280]    2
   [528,284]    2
   [531,238]    2
   [462,273]    2
   [484,232]    2
   [507,231]    2
   [497,231]    2
   [504,231]    2
   [487,231]    2
   [494,231]    2
   [594,357]    2
   [604,357]    2
   (663,292)    2
   [444,272]    2
   [522,208]    2
   [611,358]    2
   [528,294]    2
   [466,265]    2
   [451,265]    2
   [576,363]    2
   [572,363]    2
   [538,245]    2
   [534,301]    2
   [458,258]    2
   [429,319]    2
   [515,215]    2
   [466,255]    2
   [508,222]    2
   [541,308]    2
   [423,314]    2
   (368,374)    1
   (68,358)    1
   (359,444)    1
   (362,424)    1
   (450,425)    1
   (437,355)    1
   (86,365)    1
   (141,361)    1
   (475,411)    1
   (85,263)    1
   (599,425)    1
   (680,297)    1
   (356,390)    1
   [570,180]    1
   (457,390)    1
   (365,252)    1
Max: 6   Min: 1   Avg: 2
Degree computed in 28 ms

Closeness centrality:
   [477,239]    0,00446
   [470,246]    0,00444
   [466,255]    0,00442
   [541,308]    0,00415
   [546,316]    0,0041
   [429,319]    0,00406
   [552,323]    0,00404
   [423,324]    0,00401
   [559,330]    0,00396
   [423,314]    0,00395
   [565,336]    0,0039
   [572,343]    0,00382
   [572,353]    0,00373
   [572,363]    0,00364
   [576,363]    0,0036
   [584,357]    0,0035
   (663,292)    0,00342
   [594,357]    0,00341
   [611,358]    0,00325
   [604,365]    0,00316
   (365,252)    0,00294
   (680,297)    0,00267
   (457,390)    0,00266
   (437,355)    0,00261
   (475,411)    0,00257
   (450,425)    0,00241
   (599,425)    0,00235
   (356,390)    0,00206
   (368,374)    0,00162
   (362,424)    0,00152
   (359,444)    0,00149
   (85,263)    0,00117
   (141,361)    0,00114
   (86,365)    0,0011
   (68,358)    0,00108
Closeness computed in 608800 ms

Betweenness centrality:
   [470,246]    1617
   [477,239]    1590
   [466,255]    1563
   [546,316]    1502
   [541,308]    1455
   [429,319]    1403
   [423,324]    1397
   [552,323]    1310
   [423,314]    1310
   [559,330]    1295
   [565,336]    1217
   [572,343]    1115
   [572,353]    1062
   [572,363]    815
   [576,363]    758
   [584,357]    707
   [594,357]    575
   [611,358]    443
   [604,365]    380
   (475,411)    0
   (368,374)    0
   (68,358)    0
   (85,263)    0
   (359,444)    0
   (663,292)    0
   (599,425)    0
   (680,297)    0
   (362,424)    0
   (356,390)    0
   (450,425)    0
   (457,390)    0
   (437,355)    0
   (365,252)    0
   (86,365)    0
   (141,361)    0
Betweenness computed in 69 ms
