Total nodes: 77   Frontiers: 16   Edges: 77
Nodes degrees
   [572,353]    6
   [546,315]    5
   [604,365]    5
   [578,219]    3
   [559,330]    3
   [565,336]    3
   [484,237]    3
   [572,343]    3
   [491,231]    3
   [584,357]    3
   [538,219]    2
   [548,219]    2
   [558,219]    2
   [568,219]    2
   [552,323]    2
   [630,190]    2
   [508,213]    2
   [574,225]    2
   [546,260]    2
   [530,225]    2
   [529,192]    2
   [477,244]    2
   [539,267]    2
   [566,231]    2
   [556,231]    2
   [546,231]    2
   [512,231]    2
   [522,231]    2
   [536,231]    2
   [526,231]    2
   [532,274]    2
   [522,199]    2
   [528,282]    2
   [530,237]    2
   [515,206]    2
   [502,231]    2
   [492,231]    2
   [594,357]    2
   [604,357]    2
   (663,292)    2
   [528,292]    2
   [611,358]    2
   [498,228]    2
   [576,363]    2
   [572,363]    2
   [537,244]    2
   [533,300]    2
   [574,180]    2
   [564,180]    2
   [554,180]    2
   [544,180]    2
   [614,180]    2
   [604,180]    2
   [594,180]    2
   [584,180]    2
   [540,307]    2
   [623,183]    2
   [502,220]    2
   [536,185]    2
   [544,251]    2
   [470,251]    1
   (368,374)    1
   (68,358)    1
   (359,444)    1
   (362,424)    1
   (450,425)    1
   (437,355)    1
   (86,365)    1
   (141,361)    1
   (475,411)    1
   (85,263)    1
   (599,425)    1
   (680,297)    1
   (356,390)    1
   [630,180]    1
   (457,390)    1
   (366,252)    1
Max: 6   Min: 1   Avg: 2
Degree computed in 0 ms

Closeness centrality:
   [574,225]    0,00475
   (356,390)    0,00474
   [578,219]    0,00474
   [568,219]    0,0047
   [540,307]    0,00447
   [546,315]    0,00441
   [552,323]    0,00434
   [559,330]    0,00426
   [565,336]    0,00418
   [484,237]    0,00416
   [572,343]    0,00409
   [491,231]    0,00409
   (366,252)    0,00409
   [498,228]    0,00402
   [572,353]    0,004
   [572,363]    0,00389
   [576,363]    0,00385
   [584,357]    0,00374
   (663,292)    0,00364
   [594,357]    0,00363
   [611,358]    0,00345
   [604,365]    0,00335
   (680,297)    0,0028
   (457,390)    0,00279
   (437,355)    0,00274
   (475,411)    0,00269
   (450,425)    0,00252
   (599,425)    0,00246
   (368,374)    0,00167
   (362,424)    0,00156
   (359,444)    0,00153
   (85,263)    0,00119
   (141,361)    0,00116
   (86,365)    0,00112
   (68,358)    0,00111
Closeness computed in 412019 ms

Betweenness centrality:
   [578,219]    1527
   [574,225]    1504
   [568,219]    1471
   [546,315]    1448
   [540,307]    1399
   [484,237]    1304
   [552,323]    1264
   [559,330]    1251
   [491,231]    1177
   [565,336]    1177
   [498,228]    1079
   [572,343]    1079
   [572,353]    1030
   [572,363]    791
   [576,363]    736
   [584,357]    687
   [594,357]    559
   [611,358]    431
   [604,365]    370
   (475,411)    0
   (368,374)    0
   (68,358)    0
   (85,263)    0
   (359,444)    0
   (663,292)    0
   (599,425)    0
   (680,297)    0
   (362,424)    0
   (356,390)    0
   (450,425)    0
   (457,390)    0
   (437,355)    0
   (366,252)    0
   (86,365)    0
   (141,361)    0
Betweenness computed in 17 ms
