[430,50];[370,50] [518,124] [350,50] [438,78] [582,139] [437,60] [441,89] [571,139] [441,102] [410,50] [390,50] [447,80] [436,49] ;
[410,50];[370,50] [518,124] [350,50] [438,78] [447,80] [582,139] [437,60] [571,139] [436,49] [430,50] [209,79] [390,50] ;
[390,50];[370,50] [518,124] [350,50] [438,78] [447,80] [437,60] [571,139] [436,49] [430,50] [410,50] [209,79] ;
[370,50];[350,50] [438,78] [447,80] [437,60] [436,49] [430,50] [410,50] [209,79] [390,50] ;
[350,50];[370,50] [438,78] [447,80] [437,60] [436,49] [430,50] [410,50] [209,79] [390,50] ;
[441,89];[518,124] [397,151] [393,111] [438,78] [395,161] [397,126] [582,139] [437,60] [411,118] [430,50] [441,102] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [436,49] [363,188] ;
[436,49];[370,50] [518,124] [350,50] [438,78] [582,139] [437,60] [441,89] [571,139] [430,50] [441,102] [410,50] [390,50] [447,80] ;
[438,78];[370,50] [518,124] [350,50] [414,177] [582,139] [437,60] [441,89] [571,139] [430,50] [441,102] [410,50] [390,50] [447,80] [436,49] ;
[441,102];[518,124] [397,151] [393,111] [331,223] [438,78] [395,161] [397,126] [437,60] [441,89] [411,118] [430,50] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [436,49] [363,188] ;
[437,60];[370,50] [518,124] [350,50] [438,78] [582,139] [441,89] [571,139] [430,50] [441,102] [410,50] [390,50] [447,80] [436,49] ;
[447,80];[370,50] [518,124] [397,151] [350,50] [393,111] [438,78] [395,161] [397,126] [582,139] [437,60] [441,89] [411,118] [571,139] [430,50] [441,102] [410,50] [378,209] [390,50] [395,180] [428,101] [367,170] [395,140] [436,49] [363,188] ;
[414,177];[397,151] [393,111] [331,223] [438,78] [395,161] [397,126] [240,268] [462,208] [411,118] [569,289] [378,209] [395,180] [428,101] [367,170] [395,140] [475,283] [353,189] [475,244] [475,228] [363,188] ;
[393,111];[518,124] [397,151] [414,177] [395,161] [397,126] [207,128] [441,89] [411,118] [441,102] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] ;
[518,124];[393,111] [438,78] [397,126] [437,60] [441,89] [411,118] [430,50] [441,102] [410,50] [390,50] [428,101] [447,80] [602,119] [436,49] ;
[428,101];[518,124] [397,151] [414,177] [393,111] [395,161] [397,126] [441,89] [411,118] [441,102] [378,209] [395,180] [367,170] [395,140] [447,80] [363,188] ;
f [209,79];[370,50] [350,50] [397,126] [410,50] [363,188] [390,50] ;
f [207,128];[397,151] [395,180] [393,111] [367,170] [395,140] [395,161] [397,126] [353,189] [363,188] ;
[462,208];[395,180] [414,177] [367,170] [331,223] [395,161] [475,283] [353,189] [475,244] [569,289] [475,228] [363,188] [378,209] ;
[411,118];[518,124] [397,151] [414,177] [393,111] [395,161] [397,126] [441,89] [441,102] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [602,119] [363,188] ;
[367,170];[397,151] [414,177] [393,111] [395,161] [397,126] [207,128] [441,89] [462,208] [411,118] [441,102] [378,209] [395,180] [428,101] [395,140] [447,80] [475,283] [475,244] [475,228] ;
[571,139];[438,78] [582,139] [437,60] [430,50] [410,50] [569,289] [390,50] [447,80] [602,119] [574,234] [436,49] ;
[395,140];[397,151] [414,177] [393,111] [395,161] [397,126] [207,128] [441,89] [411,118] [441,102] [378,209] [395,180] [428,101] [367,170] [447,80] [475,283] [363,188] ;
f [569,289];[414,177] [582,139] [602,119] [475,283] [462,208] [571,139] [475,228] ;
[475,228];[395,180] [414,177] [367,170] [331,223] [395,161] [475,283] [462,208] [353,189] [475,244] [569,289] [363,188] [378,209] ;
[397,126];[518,124] [397,151] [414,177] [393,111] [395,161] [207,128] [441,89] [411,118] [441,102] [209,79] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [475,283] ;
[363,188];[397,151] [414,177] [331,223] [395,161] [207,128] [441,89] [462,208] [411,118] [441,102] [209,79] [378,209] [395,180] [428,101] [395,140] [447,80] [353,189] [475,244] [475,228] ;
[582,139];[438,78] [437,60] [441,89] [571,139] [430,50] [410,50] [569,289] [447,80] [631,110] [602,119] [475,283] [633,242] [574,234] [436,49] ;
[395,161];[397,151] [414,177] [393,111] [331,223] [397,126] [207,128] [441,89] [462,208] [411,118] [441,102] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [475,283] [475,244] [475,228] [363,188] ;
f [574,234];[395,180] [582,139] [602,119] [475,283] [571,139] [475,244] ;
[475,244];[397,151] [414,177] [395,161] [462,208] [378,209] [395,180] [367,170] [475,283] [353,189] [574,234] [475,228] [363,188] ;
[397,151];[414,177] [393,111] [331,223] [395,161] [397,126] [207,128] [441,89] [411,118] [441,102] [378,209] [395,180] [428,101] [367,170] [395,140] [447,80] [475,283] [475,244] [363,188] ;
[353,189];[395,180] [414,177] [331,223] [207,128] [240,268] [462,208] [475,244] [475,228] [363,188] [378,209] ;
[602,119];[518,124] [582,139] [633,242] [411,118] [571,139] [574,234] [569,289] ;
[395,180];[397,151] [414,177] [393,111] [331,223] [395,161] [397,126] [207,128] [441,89] [462,208] [411,118] [441,102] [378,209] [428,101] [367,170] [395,140] [447,80] [475,283] [353,189] [574,234] [475,244] [233,290] [475,228] [363,188] ;
f [240,268];[414,177] [353,189] [378,209] ;
f [347,415];[331,223] ;
f [433,446];[475,283] ;
f [233,290];[395,180] [331,223] ;
f [633,242];[631,110] [582,139] [602,119] ;
f [491,430];[475,283] ;
[475,283];[397,151] [414,177] [395,161] [397,126] [582,139] [462,208] [569,289] [395,180] [367,170] [395,140] [574,234] [433,446] [475,244] [475,228] [491,430] ;
[331,223];[397,151] [395,180] [347,415] [414,177] [395,161] [462,208] [353,189] [233,290] [441,102] [475,228] [363,188] [378,209] ;
[631,110];[582,139] [633,242] ;
[378,209];[397,151] [414,177] [393,111] [331,223] [395,161] [397,126] [240,268] [441,89] [462,208] [411,118] [441,102] [395,180] [428,101] [367,170] [395,140] [447,80] [353,189] [475,244] [475,228] [363,188] ;
