"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run" "Reserve_exp_time" "Divide_exp_time"
"1" 1 2 244.166666666667 95.1 2361.35 295.4 223.5
"2" 1 3 191.5 95.05 1889.5 180.5 178.2
"3" 1 4 180.166666666667 97.05 1662.2 166 182.1
"4" 1 5 157 95.6 1401.3 160.5 165.3
"5" 1 6 143.5 95.3 937.3 147 158.5
"6" 1 7 129.5 96.05 992.9 135.2 132.9375
"7" 1 8 121 95.6 1133.85 116.8 128.9
"8" 1 9 120.5 95.6 1133.85 112.8 129.125
"9" 1 10 111 95.6 1133.85 113 126.875
"10" 2 2 199 97.5 1960.85 216 198.4
"11" 2 3 150 96.3 1479.9 158 151.4
"12" 2 4 154 97.1 1667.9 147 151.5
"13" 2 5 144.5 95.1 1227.2 145 154.9
"14" 2 6 139 97.45 912.3 150 149.111111111111
"15" 2 7 141 95.3 1082.8 149 150.6
"16" 2 8 147.5 95.6 828.45 136 147.1
"17" 2 9 132.5 95.6 828.45 139.8 147.5
"18" 2 10 134 95.6 828.45 132 141.875
"19" 3 2 204 95.05 2113.5 166.3 226.5
"20" 3 3 209 95.1 2316.4 142.4 230.1
"21" 3 4 133.5 95.35 1196.95 104.7 162.3
"22" 3 5 137.5 95.4 1185.15 103 132.1
"23" 3 6 133 95.15 997.65 98.4 118.9
"24" 3 7 130 95.2 721.75 92.6 98.8
"25" 3 8 116 95.05 528.55 85 112.4
"26" 3 9 109 95.05 528.55 78.7 96
"27" 3 10 97 95.05 528.55 75 90
"28" 4 2 105 95.6 1031.4 103.1 132
"29" 4 3 101 95.7 960.25 96.9 120.5
"30" 4 4 97.5 95.55 551.05 68.6 106.5
"31" 4 5 96.5 95.6 978.2 51.1 101.5
"32" 4 6 64 95.3 571.8 49.2 83
"33" 4 7 49.5 96.05 442.55 43.0833333333333 80.25
"34" 4 8 51.5 96.25 561.1 43.5 78.875
"35" 4 9 46 96.25 561.1 37.4 76
"36" 4 10 41.5 96.25 561.1 36.7 68.125
"37" 5 2 427.5 95.25 4238.4 349.8 419
"38" 5 3 295.5 95.4 2932.75 223.3 394.5
"39" 5 4 194 95 1911.2 194.5 371.5
"40" 5 5 206 95.3 3039.95 175.5 271
"41" 5 6 202 95.1 2273.3 162.5 219.5
"42" 5 7 160.5 95.15 1571.6 152.5 221.5
"43" 5 8 145.5 95.6 2624.65 158 223.5
"44" 5 9 145.5 95.6 2624.65 154.3 200
"45" 5 10 139.5 95.6 2624.65 144.3 193.5
"46" 6 2 177.5 95.1 1649.75 227 194.5
"47" 6 3 138 95.3 1262.65 111.5 126
"48" 6 4 113 95.3 1091.95 104 115.333333333333
"49" 6 5 95 95.3 921.5 95 114.5
"50" 6 6 89.5 95.95 867.5 93 114.5
"51" 6 7 84 95.75 807.65 75.5 101.5
"52" 6 8 73.5 95.05 872.8 74.5 89
"53" 6 9 68 95.05 872.8 71.5 77
"54" 6 10 63.5 95.05 872.8 63.3 74
