"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run" "Reserve_exp_time" "Divide_exp_time" "Buddy_exp_time" "Utility_exp_time"
"1" 1 2 213 95.25 2079.7 295.4 223.5 244.166666666667 291.2
"2" 1 3 175 95.7 1814.95 180.5 178.2 191.5 167.5
"3" 1 4 135.5 96.15 1387.05 166 182.1 180.166666666667 142
"4" 1 5 131.5 96.35 1262.4 160.5 165.3 157 161.2
"5" 1 6 111.5 95.55 1077.15 147 158.5 143.5 143.6
"6" 1 7 93 96.2 1045 135.2 132.9375 129.5 121.5
"7" 1 8 87 96.9 1000 116.8 128.9 121 126.9
"8" 1 9 86.5 96.9 1000 112.8 129.125 120.5 105.6
"9" 1 10 85.5 96.9 1000 113 126.875 111 98
"10" 2 2 202.5 96.6 1880.2 216 198.4 199 212
"11" 2 3 159.5 97.9 1523.55 158 151.4 150 159.7
"12" 2 4 152 95.95 1434.8 147 151.5 154 149
"13" 2 5 138.5 97.65 1348.7 145 154.9 144.5 156
"14" 2 6 144 96.9 1325.65 150 149.111111111111 139 148
"15" 2 7 146.5 97.3 1292 149 150.6 141 149
"16" 2 8 136.5 96.35 1329.55 136 147.1 147.5 139
"17" 2 9 126.5 96.35 1329.55 139.8 147.5 132.5 139.8
"18" 2 10 129.5 96.35 1329.55 132 141.875 134 127
"19" 3 2 197 95.3 1920.15 166.3 226.5 204 192.3
"20" 3 3 129.5 95.35 1254.1 142.4 230.1 209 187.4
"21" 3 4 116 95.35 1093.3 104.7 162.3 133.5 139.7
"22" 3 5 107.5 95.25 1071 103 132.1 137.5 133
"23" 3 6 101.5 95.35 965.15 98.4 118.9 133 95.4
"24" 3 7 94.5 95.45 904.85 92.6 98.8 130 97.6
"25" 3 8 86.5 95.8 1066.75 85 112.4 116 74
"26" 3 9 86 95.8 1066.75 78.7 96 109 75.7
"27" 3 10 76.5 95.8 1066.75 75 90 97 72
"28" 4 2 94 95.45 893 103.1 132 105 132.1
"29" 4 3 86 95.35 815.55 96.9 120.5 101 126.9
"30" 4 4 67.5 95.75 635.65 68.6 106.5 97.5 87.6
"31" 4 5 48 95.65 544.5 51.1 101.5 96.5 87.1
"32" 4 6 56 96.3 548 49.2 83 64 52.2
"33" 4 7 41.5 95.6 624.55 43.0833333333333 80.25 49.5 48.0833333333333
"34" 4 8 36 30.9 357.7 43.5 78.875 51.5 45.5
"35" 4 9 41 30.9 357.7 37.4 76 46 47.4
"36" 4 10 31.5 30.9 357.7 36.7 68.125 41.5 41.7
"37" 5 2 263.5 95 2600.9 349.8 419 427.5 329.8
"38" 5 3 226 95.45 2222.4 223.3 394.5 295.5 203.3
"39" 5 4 198.5 95.3 1949.65 194.5 371.5 194 179.5
"40" 5 5 179 96.5 1731.5 175.5 271 206 181.5
"41" 5 6 157.5 96.05 1370.05 162.5 219.5 202 143.5
"42" 5 7 140.5 95.4 1105 152.5 221.5 160.5 145.5
"43" 5 8 127 95.8 1005.05 158 223.5 145.5 133
"44" 5 9 122 95.8 1005.05 154.3 200 145.5 139.3
"45" 5 10 118.5 95.8 1005.05 144.3 193.5 139.5 124.3
"46" 6 2 151 95.45 1437.6 227 194.5 177.5 225
"47" 6 3 95.5 95.65 897.95 111.5 126 138 134.2
"48" 6 4 97.5 98.2 906.2 104 115.333333333333 113 106.1
"49" 6 5 87.5 98.2 952.2 95 114.5 95 95.5
"50" 6 6 72.5 98.5 884.25 93 114.5 89.5 90
"51" 6 7 79 98.45 904.55 75.5 101.5 84 80.5
"52" 6 8 66.5 98.25 897.2 74.5 89 73.5 72.5
"53" 6 9 61.5 98.25 897.2 71.5 77 68 68.5
"54" 6 10 54.5 98.25 897.2 63.3 74 63.5 60.3
