"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run"
"1" 1 2 223.5 95.45 2208.75
"2" 1 3 178.2 95.46 1746.8
"3" 1 4 182.1 95.74 1781.01
"4" 1 5 165.3 95.29 1613.12
"5" 1 6 158.5 95.78 1536.92
"6" 1 7 132.9375 95.5875 1298.8125
"7" 1 8 128.9 95.44 1256.03
"8" 1 9 129.125 95.6125 1364.375
"9" 1 10 126.875 95.6125 1364.375
"10" 2 2 198.4 97.38 1955.36
"11" 2 3 151.4 95.34 1436.07
"12" 2 4 151.5 95.45 1489.06
"13" 2 5 154.9 95.68 1518.27
"14" 2 6 149.111111111111 96.5222222222222 1426.92222222222
"15" 2 7 150.6 95.9 1478.05
"16" 2 8 147.1 95.35 1444.87
"17" 2 9 147.5 95.95 1447.15
"18" 2 10 141.875 95.95 1447.15
"19" 3 2 226.5 95.33 2108.39
"20" 3 3 230.1 95.12 2348.42
"21" 3 4 162.3 95.13 1582.29
"22" 3 5 132.1 95.17 1270.3
"23" 3 6 118.9 95.22 1166.04
"24" 3 7 98.8 95.2 963.5
"25" 3 8 112.4 95.28 1140.32
"26" 3 9 96 95.13 928.48
"27" 3 10 90 95.2333333333333 868.133333333333
"28" 4 2 132 95.7 1280.8
"29" 4 3 120.5 95.45 1185.6
"30" 4 4 106.5 95.75 1039
"31" 4 5 101.5 95.8 987.8
"32" 4 6 83 95.35 796.8
"33" 4 7 80.25 95.35 780.8
"34" 4 8 78.875 95.25 885
"35" 4 9 76 95.25 885
"36" 4 10 68.125 95.25 885
"37" 5 2 419 95.35 3221.4
"38" 5 3 394.5 95.2 3896.6
"39" 5 4 371.5 95.5 3676.9
"40" 5 5 271 95.25 2672.35
"41" 5 6 219.5 95.5 2161.7
"42" 5 7 221.5 95.25 2280.95
"43" 5 8 223.5 95.35 2449.6
"44" 5 9 200 95.35 2449.6
"45" 5 10 193.5 95.35 2449.6
"46" 6 2 194.5 95.1 1901.75
"47" 6 3 126 95.15 968.35
"48" 6 4 115.333333333333 95.2333333333333 1100.66666666667
"49" 6 5 114.5 95.2 1092.25
"50" 6 6 114.5 95.5 1098.15
"51" 6 7 101.5 95.3 1034.55
"52" 6 8 89 95.35 975.95
"53" 6 9 77 95.35 975.95
"54" 6 10 74 95.35 975.95
