"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run" "Reserve_exp_time" "Divide_exp_time" "Buddy_exp_time" "Utility_exp_time"
"1" 1 2 217.2 95.45 2208.75 295.4 223.5 244.166666666667 291.2
"2" 1 3 168.2 95.46 1746.8 180.5 178.2 191.5 167.5
"3" 1 4 180.8 95.74 1781.01 166 182.1 180.166666666667 142
"4" 1 5 178.2 95.29 1613.12 160.5 165.3 157 161.2
"5" 1 6 152.3 95.78 1536.92 147 158.5 143.5 143.6
"6" 1 7 146.93 95.5875 1298.8125 135.2 132.9375 129.5 121.5
"7" 1 8 118.9 95.44 1256.03 116.8 128.9 121 126.9
"8" 1 9 121.3 95.6125 1364.375 112.8 129.125 120.5 105.6
"9" 1 10 106.4 95.6125 1364.375 113 126.875 111 98
"10" 2 2 190.4 97.38 1955.36 216 198.4 199 212
"11" 2 3 141.4 95.34 1436.07 158 151.4 150 159.7
"12" 2 4 153.4 95.45 1489.06 147 151.5 154 149
"13" 2 5 148.1 95.68 1518.27 145 154.9 144.5 156
"14" 2 6 151.5 96.5222222222222 1426.92222222222 150 149.111111111111 139 148
"15" 2 7 139.1 95.9 1478.05 149 150.6 141 149
"16" 2 8 143.1 95.35 1444.87 136 147.1 147.5 139
"17" 2 9 134.5 95.95 1447.15 139.8 147.5 132.5 139.8
"18" 2 10 130.2 95.95 1447.15 132 141.875 134 127
"19" 3 2 206.5 95.33 2108.39 166.3 226.5 204 192.3
"20" 3 3 180.1 95.12 2348.42 142.4 230.1 209 187.4
"21" 3 4 142.3 95.13 1582.29 104.7 162.3 133.5 139.7
"22" 3 5 102.1 95.17 1270.3 103 132.1 137.5 133
"23" 3 6 102.9 95.22 1166.04 98.4 118.9 133 95.4
"24" 3 7 88.8 95.2 963.5 92.6 98.8 130 97.6
"25" 3 8 82.4 95.28 1140.32 85 112.4 116 74
"26" 3 9 72 95.13 928.48 78.7 96 109 75.7
"27" 3 10 72.3 95.2333333333333 868.133333333333 75 90 97 72
"28" 4 2 122 95.7 1280.8 103.1 132 105 132.1
"29" 4 3 127.5 95.45 1185.6 96.9 120.5 101 126.9
"30" 4 4 103.5 95.75 1039 68.6 106.5 97.5 87.6
"31" 4 5 95.5 95.8 987.8 51.1 101.5 96.5 87.1
"32" 4 6 99 95.35 796.8 49.2 83 64 52.2
"33" 4 7 70.25 95.35 780.8 43.0833333333333 80.25 49.5 48.0833333333333
"34" 4 8 66.875 95.25 885 43.5 78.875 51.5 45.5
"35" 4 9 54 95.25 885 37.4 76 46 47.4
"36" 4 10 58.125 95.25 885 36.7 68.125 41.5 41.7
"37" 5 2 409 95.35 3221.4 349.8 419 427.5 329.8
"38" 5 3 346.5 95.2 3896.6 223.3 394.5 295.5 203.3
"39" 5 4 275.5 95.5 3676.9 194.5 371.5 194 179.5
"40" 5 5 261 95.25 2672.35 175.5 271 206 181.5
"41" 5 6 189.5 95.5 2161.7 162.5 219.5 202 143.5
"42" 5 7 191.2 95.25 2280.95 152.5 221.5 160.5 145.5
"43" 5 8 190.3 95.35 2449.6 158 223.5 145.5 133
"44" 5 9 177 95.35 2449.6 154.3 200 145.5 139.3
"45" 5 10 181.5 95.35 2449.6 144.3 193.5 139.5 124.3
"46" 6 2 184.5 95.1 1901.75 227 194.5 177.5 225
"47" 6 3 146 95.15 968.35 111.5 126 138 134.2
"48" 6 4 125.333333333333 95.2333333333333 1100.66666666667 104 115.333333333333 113 106.1
"49" 6 5 124.5 95.2 1092.25 95 114.5 95 95.5
"50" 6 6 113.5 95.5 1098.15 93 114.5 89.5 90
"51" 6 7 99.3 95.3 1034.55 75.5 101.5 84 80.5
"52" 6 8 79 95.35 975.95 74.5 89 73.5 72.5
"53" 6 9 78 95.35 975.95 71.5 77 68 68.5
"54" 6 10 64 95.35 975.95 63.3 74 63.5 60.3
