"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run" "Reserve_exp_time" "Divide_exp_time" "Buddy_exp_time" "Utility_exp_time"
"1" 1 2 296 98.16 2937.72 295.4 223.5 244.166666666667 291.2
"2" 1 3 182.2 95.34 1791.92 180.5 178.2 191.5 167.5
"3" 1 4 166 95.56 1720.56 166 182.1 180.166666666667 142
"4" 1 5 140.6 95.58 1316.9 160.5 165.3 157 161.2
"5" 1 6 142.2 95.58 1380.1 147 158.5 143.5 143.6
"6" 1 7 109.2 95.76 1097.98 135.2 132.9375 129.5 121.5
"7" 1 8 92.8 95.34 925.12 116.8 128.9 121 126.9
"8" 1 9 102 95.9 1015.76 112.8 129.125 120.5 105.6
"9" 1 10 74.4 95.8 753.3 113 126.875 111 98
"10" 2 2 215 98.6 2874.9 216 198.4 199 212
"11" 2 3 146 96.34 1494.32 158 151.4 150 159.7
"12" 2 4 145.8 96.74 1881.6 147 151.5 154 149
"13" 2 5 144 96 1305.78 145 154.9 144.5 156
"14" 2 6 153 95.3 1469.72 150 149.111111111111 139 148
"15" 2 7 148 96.86 1495.34 149 150.6 141 149
"16" 2 8 142.6 96.42 1331.7 136 147.1 147.5 139
"17" 2 9 140 96 1380.74285714286 139.8 147.5 132.5 139.8
"18" 2 10 134 96.42 1493.98 132 141.875 134 127
"19" 3 2 167.4 62.62 3980.3 166.3 226.5 204 192.3
"20" 3 3 149.8 95.24 1744.38 142.4 230.1 209 187.4
"21" 3 4 104.2 95.12 1356.42 104.7 162.3 133.5 139.7
"22" 3 5 99.6 95.12 1022.16 103 132.1 137.5 133
"23" 3 6 94.4 95.02 2686.64 98.4 118.9 133 95.4
"24" 3 7 82.2 95.36 903.76 92.6 98.8 130 97.6
"25" 3 8 79.4 95.14 867.94 85 112.4 116 74
"26" 3 9 70.8 95.34 716.14 78.7 96 109 75.7
"27" 3 10 67.4 95.26 677.74 75 90 97 72
"28" 4 2 118.5 95.9 987.8 103.1 132 105 132.1
"29" 4 3 65.5 95.85 639.1 96.9 120.5 101 126.9
"30" 4 4 46.5 95.1 471.5 68.6 106.5 97.5 87.6
"31" 4 5 43 95.25 410.1 51.1 101.5 96.5 87.1
"32" 4 6 35.5 95.6 485 49.2 83 64 52.2
"33" 4 7 36.5 95.2 399.7 43.0833333333333 80.25 49.5 48.0833333333333
"34" 4 8 37 95.7 548.15 43.5 78.875 51.5 45.5
"35" 4 9 29 95.7 548.15 37.4 76 46 47.4
"36" 4 10 26.5 95.7 548.15 36.7 68.125 41.5 41.7
"37" 5 2 360 95 3607.2 349.8 419 427.5 329.8
"38" 5 3 214.166666666667 95.7 2052 223.3 394.5 295.5 203.3
"39" 5 4 205.333333333333 95.25 2245.65 194.5 371.5 194 179.5
"40" 5 5 182.875 95.15 1835.85 175.5 271 206 181.5
"41" 5 6 142.166666666667 95.55 1478.05 162.5 219.5 202 143.5
"42" 5 7 142.833333333333 95.35 1549.3 152.5 221.5 160.5 145.5
"43" 5 8 135.166666666667 95.65 1394.2 158 223.5 145.5 133
"44" 5 9 133.5 95.65 1394.2 154.3 200 145.5 139.3
"45" 5 10 130.666666666667 95.65 1394.2 144.3 193.5 139.5 124.3
"46" 6 2 231.666666666667 95 2313.3 227 194.5 177.5 225
"47" 6 3 127.166666666667 95.2 1242.35 111.5 126 138 134.2
"48" 6 4 97.6666666666667 95.9 945.333333333333 104 115.333333333333 113 106.1
"49" 6 5 88 95.45 853.75 95 114.5 95 95.5
"50" 6 6 80.3333333333333 95 885 93 114.5 89.5 90
"51" 6 7 66.6666666666667 95.4 700.35 75.5 101.5 84 80.5
"52" 6 8 62.8333333333333 95.25 692.4 74.5 89 73.5 72.5
"53" 6 9 61.3333333333333 95.25 692.4 71.5 77 68 68.5
"54" 6 10 56.1666666666667 95.25 692.4 63.3 74 63.5 60.3
