"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run"
"1" 1 2 217.2 95.68 2268.7
"2" 1 3 177.9 96.74 1816.9
"3" 1 4 151.8 95.74 1671.21
"4" 1 5 153.5 95.49 1583.42
"5" 1 6 132.2 96.38 1427.92
"6" 1 7 139.73 95.5875 1298.8125
"7" 1 8 121.2 95.44 1256.03
"8" 1 9 120.3 95.6125 1364.375
"9" 1 10 101.4 95.6125 1364.375
"10" 2 2 211.4 97.38 1955.36
"11" 2 3 171.4 95.34 1436.07
"12" 2 4 143.4 95.45 1489.06
"13" 2 5 145.8 95.68 1518.27
"14" 2 6 149.5 96.5222222222222 1426.92222222222
"15" 2 7 133.1 95.9 1478.05
"16" 2 8 141.1 95.35 1444.87
"17" 2 9 124.5 95.95 1447.15
"18" 2 10 122.2 95.95 1447.15
"19" 3 2 232.1 95.33 2108.39
"20" 3 3 147.3 95.12 2348.42
"21" 3 4 139.9 95.13 1582.29
"22" 3 5 112.1 95.17 1270.3
"23" 3 6 90.5 95.22 1166.04
"24" 3 7 79.9 95.2 963.5
"25" 3 8 70.3 95.28 1140.32
"26" 3 9 72.7 95.13 928.48
"27" 3 10 68.3 95.2333333333333 868.133333333333
"28" 4 2 141 95.7 1280.8
"29" 4 3 121.5 95.45 1185.6
"30" 4 4 93.5 95.75 1039
"31" 4 5 92.5 95.8 987.8
"32" 4 6 69 95.35 796.8
"33" 4 7 73.25 95.35 780.8
"34" 4 8 72.875 95.25 885
"35" 4 9 51 95.25 885
"36" 4 10 50.125 95.25 885
"37" 5 2 413 95.35 3221.4
"38" 5 3 319.4 95.2 3896.6
"39" 5 4 293.5 95.5 3676.9
"40" 5 5 203 95.25 2672.35
"41" 5 6 209.2 95.5 2161.7
"42" 5 7 176.9 95.25 2280.95
"43" 5 8 179.3 95.35 2449.6
"44" 5 9 162.8 95.35 2449.6
"45" 5 10 163.5 95.35 2449.6
"46" 6 2 191.5 95.1 1901.75
"47" 6 3 136 95.15 968.35
"48" 6 4 132.6 95.2333333333333 1100.66666666667
"49" 6 5 134.5 95.2 1092.25
"50" 6 6 109.2 95.5 1098.15
"51" 6 7 95.3 95.3 1034.55
"52" 6 8 84 95.35 975.95
"53" 6 9 85 95.35 975.95
"54" 6 10 61.67 95.35 975.95
