"Environment" "Team_size" "Avg_exp_time" "Avg_area_exp" "Avg_dist_run"
"1" 1 2 291.2 98.25 2932.55
"2" 1 3 167.5 96.01 1734.44
"3" 1 4 142 95.1 1594.9
"4" 1 5 161.2 95.38 1492.81
"5" 1 6 143.6 95.9 1303.4
"6" 1 7 121.5 95.75 1114.88
"7" 1 8 126.9 95.14 960.6
"8" 1 9 105.6 95.51 1072.57
"9" 1 10 98 95.1 811.4
"10" 2 2 212 98.6 2874.9
"11" 2 3 159.7 98.9 1453.44
"12" 2 4 149 95.6 1415.5
"13" 2 5 156 95.9 1135
"14" 2 6 148 97.1 1803
"15" 2 7 149 95.04 1305.84
"16" 2 8 139 97.1 1022.7
"17" 2 9 139.8 96.95 967.56
"18" 2 10 127 96.3 949.4
"19" 3 2 192.3 95.08 1641.52
"20" 3 3 187.4 95.1 1390.54
"21" 3 4 139.7 95.12 1007.54
"22" 3 5 133 95.1 966.73
"23" 3 6 95.4 95.09 910.4
"24" 3 7 97.6 95.28 633.46
"25" 3 8 74 95.3 700.91
"26" 3 9 75.7 95.22 591.99
"27" 3 10 72 95.3 501.16
"28" 4 2 132.1 96.03 983.35
"29" 4 3 126.9 96.15 945.2
"30" 4 4 87.6 95.01 609.19
"31" 4 5 87.1 95.32 415.46
"32" 4 6 52.2 95 702
"33" 4 7 48.0833333333333 95.2 364.9
"34" 4 8 45.5 95.1 573.8
"35" 4 9 47.4 95.1 573.8
"36" 4 10 41.7 95.1 573.8
"37" 5 2 329.8 95 3607.2
"38" 5 3 203.3 95.7 2052
"39" 5 4 179.5 95.35 2360.5
"40" 5 5 181.5 96.35 1709.4
"41" 5 6 143.5 95.05 1574.8
"42" 5 7 145.5 95.7 1290.15
"43" 5 8 133 95.1 1494.4
"44" 5 9 139.3 95.1 1494.4
"45" 5 10 124.3 95.1 1494.4
"46" 6 2 225 95 2313.3
"47" 6 3 134.2 95.8 1083.3
"48" 6 4 106.1 95.15 1034.85
"49" 6 5 95.5 95 837.2
"50" 6 6 90 95.55 694.3
"51" 6 7 80.5 95.2 724.9
"52" 6 8 72.5 95.55 666.3
"53" 6 9 68.5 95.55 666.3
"54" 6 10 60.3 95.55 666.3
